S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,308.6,487.1,-37
2,ARWAL,216.6,249.1,-13
3,AURANGABAD,224.3,293.5,-24
4,BANKA,292.5,284.7,3
5,BEGUSARAI,228.5,329.1,-31
6,BHABUA,147.9,286,-48
7,BHAGALPUR,244.3,310.7,-21
8,BHOJPUR,208.2,306.8,-32
9,BUXAR,202.6,270.6,-25
10,DARBHANGA,128.2,313.2,-59
11,EAST CHAMPARAN,284.1,364.3,-22
12,GAYA,220.9,276.6,-20
13,GOPALGANJ,265,336.3,-21
14,JAHANABAD,173.5,284.4,-39
15,JAMUI,263.1,319.4,-18
16,KATIHAR,286.4,349.2,-18
17,KHAGARIA,347.5,309,12
18,KISHANGANJ,493.1,597.4,-17
19,LAKHISARAI,198.4,305.3,-35
20,MADHEPURA,189.4,332.8,-43
21,MADHUBANI,155.3,353.5,-56
22,MONGHYR,269.2,353.9,-24
23,MUZAFFARPUR,181.8,332.2,-45
24,NALANDA,246.9,304.3,-19
25,NAWADA,266.8,281.4,-5
26,PATNA,178.4,315.6,-43
27,PURNEA,284.3,476.3,-40
28,ROHTAS,174.5,288.8,-40
29,SAHARSA,186.4,375.3,-50
30,SAMASTIPUR,160.5,309.5,-48
31,SARAN,158.5,315.9,-50
32,SHEIKHPURA,235.3,296.6,-21
33,SHEOHAR,270,356.7,-24
34,SITAMARHI,221.8,375.5,-41
35,SIWAN,344.4,308.3,12
36,SUPAUL,203.5,391.3,-48
37,VAISHALI,173.4,335.6,-48
38,WEST CHAMPARAN,433.1,438.5,-1
