MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,282.4,262.6,8
June,ARWAL,75.1,91.8,-18
June,AURANGABAD,66,126.8,-48
June,BANKA,21.4,139.5,-85
June,BEGUSARAI,20.8,165.6,-87
June,BHABUA,41.6,111.7,-63
June,BHAGALPUR,27.9,179.5,-84
June,BHOJPUR,29.1,116.4,-75
June,BUXAR,46.1,110.6,-58
June,DARBHANGA,67.6,145.1,-53
June,EAST CHAMPARAN,96.5,177.8,-46
June,GAYA,70.8,135.4,-48
June,GOPALGANJ,59.9,142.8,-58
June,JAHANABAD,84.7,125.2,-32
June,JAMUI,61.7,147.4,-58
June,KATIHAR,59.1,211.9,-72
June,KHAGARIA,23.5,184.5,-87
June,KISHANGANJ,604.1,342.6,76
June,LAKHISARAI,83.7,121.7,-31
June,MADHEPURA,58.4,197.5,-70
June,MADHUBANI,65.2,169.2,-61
June,MONGHYR,20.7,164,-87
June,MUZAFFARPUR,55.8,157,-64
June,NALANDA,14.2,119.2,-88
June,NAWADA,69.1,124.3,-44
June,PATNA,30.6,130.2,-76
June,PURNEA,136.5,279.7,-51
June,ROHTAS,20.3,115.4,-82
June,SAHARSA,55.8,195.6,-71
June,SAMASTIPUR,27.7,158.4,-83
June,SARAN,25.3,129.7,-80
June,SHEIKHPURA,46.3,130.1,-64
June,SHEOHAR,145.1,179.1,-19
June,SITAMARHI,111.1,188.9,-41
June,SIWAN,49.8,130.8,-62
June,SUPAUL,129.3,203.4,-36
June,VAISHALI,13,126.1,-90
June,WEST CHAMPARAN,138.8,200.8,-31
July,ARARIA,308.6,487.1,-37
July,ARWAL,216.6,249.1,-13
July,AURANGABAD,224.3,293.5,-24
July,BANKA,292.5,284.7,3
July,BEGUSARAI,228.5,329.1,-31
July,BHABUA,147.9,286,-48
July,BHAGALPUR,244.3,310.7,-21
July,BHOJPUR,208.2,306.8,-32
July,BUXAR,202.6,270.6,-25
July,DARBHANGA,128.2,313.2,-59
July,EAST CHAMPARAN,284.1,364.3,-22
July,GAYA,220.9,276.6,-20
July,GOPALGANJ,265,336.3,-21
July,JAHANABAD,173.5,284.4,-39
July,JAMUI,263.1,319.4,-18
July,KATIHAR,286.4,349.2,-18
July,KHAGARIA,347.5,309,12
July,KISHANGANJ,493.1,597.4,-17
July,LAKHISARAI,198.4,305.3,-35
July,MADHEPURA,189.4,332.8,-43
July,MADHUBANI,155.3,353.5,-56
July,MONGHYR,269.2,353.9,-24
July,MUZAFFARPUR,181.8,332.2,-45
July,NALANDA,246.9,304.3,-19
July,NAWADA,266.8,281.4,-5
July,PATNA,178.4,315.6,-43
July,PURNEA,284.3,476.3,-40
July,ROHTAS,174.5,288.8,-40
July,SAHARSA,186.4,375.3,-50
July,SAMASTIPUR,160.5,309.5,-48
July,SARAN,158.5,315.9,-50
July,SHEIKHPURA,235.3,296.6,-21
July,SHEOHAR,270,356.7,-24
July,SITAMARHI,221.8,375.5,-41
July,SIWAN,344.4,308.3,12
July,SUPAUL,203.5,391.3,-48
July,VAISHALI,173.4,335.6,-48
July,WEST CHAMPARAN,433.1,438.5,-1
August,ARARIA,271.2,340.9,-20
August,ARWAL,300.7,204.5,47
August,AURANGABAD,419.6,251,67
August,BANKA,243.8,247.7,-2
August,BEGUSARAI,231.8,273.8,-15
August,BHABUA,245.8,271.2,-9
August,BHAGALPUR,217.3,260.3,-17
August,BHOJPUR,305.8,258.9,18
August,BUXAR,331.3,232,43
August,DARBHANGA,162,254.7,-36
August,EAST CHAMPARAN,186.6,302,-38
August,GAYA,383.5,241.6,59
August,GOPALGANJ,191.8,272.7,-30
August,JAHANABAD,224.2,238.2,-6
August,JAMUI,360.4,250.9,44
August,KATIHAR,232.3,255.8,-9
August,KHAGARIA,189.8,252.1,-25
August,KISHANGANJ,261.3,451.7,-42
August,LAKHISARAI,262.3,222.7,18
August,MADHEPURA,287.4,265.9,8
August,MADHUBANI,149.9,268.5,-44
