MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
August,MONGHYR,216.1,276.1,-22
August,MUZAFFARPUR,183,261.9,-30
August,NALANDA,373.5,237.7,57
August,NAWADA,470.9,242.4,94
August,PATNA,212.5,237.8,-11
August,PURNEA,230.2,346.9,-34
August,ROHTAS,288.8,248,16
August,SAHARSA,201.1,276,-27
August,SAMASTIPUR,216.4,254.8,-15
August,SARAN,165.4,258,-36
August,SHEIKHPURA,403,209.6,92
August,SHEOHAR,96.1,266.9,-64
August,SITAMARHI,158.5,307.3,-48
August,SIWAN,235.8,249,-5
August,SUPAUL,322.9,262.5,23
August,VAISHALI,164.5,244.3,-33
August,WEST CHAMPARAN,292.6,355.8,-18
September,ARARIA,440.5,284,55
September,ARWAL,74.7,159.8,-53
September,AURANGABAD,195.7,187.7,4
September,BANKA,309.1,198.7,56
September,BEGUSARAI,255.3,241,6
September,BHABUA,144.2,221.3,-35
September,BHAGALPUR,199.7,219.7,-9
September,BHOJPUR,117.3,207.2,-43
September,BUXAR,114.8,172.2,-33
September,DARBHANGA,209.9,186.6,12
September,EAST CHAMPARAN,305.4,211.1,45
September,GAYA,144,174.7,-18
September,GOPALGANJ,212.8,216.8,-2
September,JAHANABAD,55.9,185.1,-70
September,JAMUI,223.7,218.7,2
September,KATIHAR,311.2,262,19
September,KHAGARIA,266.4,225.7,18
September,KISHANGANJ,458.1,354.5,29
September,LAKHISARAI,226.6,200.6,13
September,MADHEPURA,218.5,250.1,-13
September,MADHUBANI,230.3,180.9,27
September,MONGHYR,287.5,225.9,27
September,MUZAFFARPUR,104.7,216.7,-52
September,NALANDA,130.6,191.6,-32
September,NAWADA,188.1,178.4,5
September,PATNA,122.2,203.3,-40
September,PURNEA,331,308.9,7
September,ROHTAS,188.8,190.1,-1
September,SAHARSA,226.5,236.4,-4
September,SAMASTIPUR,120.7,223,-46
September,SARAN,75.8,195.8,-61
September,SHEIKHPURA,165.2,181.7,-9
September,SHEOHAR,195.7,206,-5
September,SITAMARHI,252.7,188.6,34
September,SIWAN,181.7,212.9,-15
September,SUPAUL,319.2,228.5,40
September,VAISHALI,115.3,199.4,-42
September,WEST CHAMPARAN,318.2,237.1,34
