S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,271.2,340.9,-20
2,ARWAL,300.7,204.5,47
3,AURANGABAD,419.6,251,67
4,BANKA,243.8,247.7,-2
5,BEGUSARAI,231.8,273.8,-15
6,BHABUA,245.8,271.2,-9
7,BHAGALPUR,217.3,260.3,-17
8,BHOJPUR,305.8,258.9,18
9,BUXAR,331.3,232,43
10,DARBHANGA,162,254.7,-36
11,EAST CHAMPARAN,186.6,302,-38
12,GAYA,383.5,241.6,59
13,GOPALGANJ,191.8,272.7,-30
14,JAHANABAD,224.2,238.2,-6
15,JAMUI,360.4,250.9,44
16,KATIHAR,232.3,255.8,-9
17,KHAGARIA,189.8,252.1,-25
18,KISHANGANJ,261.3,451.7,-42
19,LAKHISARAI,262.3,222.7,18
20,MADHEPURA,287.4,265.9,8
21,MADHUBANI,149.9,268.5,-44
22,MONGHYR,216.1,276.1,-22
23,MUZAFFARPUR,183,261.9,-30
24,NALANDA,373.5,237.7,57
25,NAWADA,470.9,242.4,94
26,PATNA,212.5,237.8,-11
27,PURNEA,230.2,346.9,-34
28,ROHTAS,288.8,248,16
29,SAHARSA,201.1,276,-27
30,SAMASTIPUR,216.4,254.8,-15
31,SARAN,165.4,258,-36
32,SHEIKHPURA,403,209.6,92
33,SHEOHAR,96.1,266.9,-64
34,SITAMARHI,158.5,307.3,-48
35,SIWAN,235.8,249,-5
36,SUPAUL,322.9,262.5,23
37,VAISHALI,164.5,244.3,-33
38,WEST CHAMPARAN,292.6,355.8,-18
