S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1302.6,1374.6,-5
2,ARWAL,667.1,705.2,-5
3,AURANGABAD,905.7,859,5
4,BANKA,866.7,870.6,0
5,BEGUSARAI,736.4,1009.5,-27
6,BHABUA,579.6,890.2,-35
7,BHAGALPUR,689.2,970.2,-29
8,BHOJPUR,660.3,889.3,-26
9,BUXAR,694.9,785.4,-12
10,DARBHANGA,567.7,899.6,-37
11,EAST CHAMPARAN,872.5,1055.2,-17
12,GAYA,819.3,828.3,-1
13,GOPALGANJ,729.4,968.6,-25
14,JAHANABAD,538.2,832.9,-35
15,JAMUI,908.9,936.4,-3
16,KATIHAR,889,1078.9,-18
17,KHAGARIA,827.2,971.3,-15
18,KISHANGANJ,1816.5,1746.2,4
19,LAKHISARAI,771,850.3,-9
20,MADHEPURA,753.7,1046.3,-28
21,MADHUBANI,600.6,972.1,-38
22,MONGHYR,793.4,1019.9,-22
23,MUZAFFARPUR,525.3,967.8,-46
24,NALANDA,765.3,852.8,-10
25,NAWADA,994.9,826.5,20
26,PATNA,543.7,886.9,-39
27,PURNEA,982,1411.8,-30
28,ROHTAS,672.4,842.3,-20
29,SAHARSA,669.7,1083.3,-38
30,SAMASTIPUR,525.3,945.7,-44
31,SARAN,425,899.4,-53
32,SHEIKHPURA,849.7,818,4
33,SHEOHAR,706.9,1008.7,-30
34,SITAMARHI,744.1,1060.3,-30
35,SIWAN,811.7,901,-10
36,SUPAUL,974.8,1085.7,-10
37,VAISHALI,466.2,905.4,-49
38,WEST CHAMPARAN,1182.8,1232.2,-4
