S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,282.4,262.6,8
2,ARWAL,75.1,91.8,-18
3,AURANGABAD,66,126.8,-48
4,BANKA,21.4,139.5,-85
5,BEGUSARAI,20.8,165.6,-87
6,BHABUA,41.6,111.7,-63
7,BHAGALPUR,27.9,179.5,-84
8,BHOJPUR,29.1,116.4,-75
9,BUXAR,46.1,110.6,-58
10,DARBHANGA,67.6,145.1,-53
11,EAST CHAMPARAN,96.5,177.8,-46
12,GAYA,70.8,135.4,-48
13,GOPALGANJ,59.9,142.8,-58
14,JAHANABAD,84.7,125.2,-32
15,JAMUI,61.7,147.4,-58
16,KATIHAR,59.1,211.9,-72
17,KHAGARIA,23.5,184.5,-87
18,KISHANGANJ,604.1,342.6,76
19,LAKHISARAI,83.7,121.7,-31
20,MADHEPURA,58.4,197.5,-70
21,MADHUBANI,65.2,169.2,-61
22,MONGHYR,20.7,164,-87
23,MUZAFFARPUR,55.8,157,-64
24,NALANDA,14.2,119.2,-88
25,NAWADA,69.1,124.3,-44
26,PATNA,30.6,130.2,-76
27,PURNEA,136.5,279.7,-51
28,ROHTAS,20.3,115.4,-82
29,SAHARSA,55.8,195.6,-71
30,SAMASTIPUR,27.7,158.4,-83
31,SARAN,25.3,129.7,-80
32,SHEIKHPURA,46.3,130.1,-64
33,SHEOHAR,145.1,179.1,-19
34,SITAMARHI,111.1,188.9,-41
35,SIWAN,49.8,130.8,-62
36,SUPAUL,129.3,203.4,-36
37,VAISHALI,13,126.1,-90
38,WEST CHAMPARAN,138.8,200.8,-31
