S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,440.5,284,55
2,ARWAL,74.7,159.8,-53
3,AURANGABAD,195.7,187.7,4
4,BANKA,309.1,198.7,56
5,BEGUSARAI,255.3,241,6
6,BHABUA,144.2,221.3,-35
7,BHAGALPUR,199.7,219.7,-9
8,BHOJPUR,117.3,207.2,-43
9,BUXAR,114.8,172.2,-33
10,DARBHANGA,209.9,186.6,12
11,EAST CHAMPARAN,305.4,211.1,45
12,GAYA,144,174.7,-18
13,GOPALGANJ,212.8,216.8,-2
14,JAHANABAD,55.9,185.1,-70
15,JAMUI,223.7,218.7,2
16,KATIHAR,311.2,262,19
17,KHAGARIA,266.4,225.7,18
18,KISHANGANJ,458.1,354.5,29
19,LAKHISARAI,226.6,200.6,13
20,MADHEPURA,218.5,250.1,-13
21,MADHUBANI,230.3,180.9,27
22,MONGHYR,287.5,225.9,27
23,MUZAFFARPUR,104.7,216.7,-52
24,NALANDA,130.6,191.6,-32
25,NAWADA,188.1,178.4,5
26,PATNA,122.2,203.3,-40
27,PURNEA,331,308.9,7
28,ROHTAS,188.8,190.1,-1
29,SAHARSA,226.5,236.4,-4
30,SAMASTIPUR,120.7,223,-46
31,SARAN,75.8,195.8,-61
32,SHEIKHPURA,165.2,181.7,-9
33,SHEOHAR,195.7,206,-5
34,SITAMARHI,252.7,188.6,34
35,SIWAN,181.7,212.9,-15
36,SUPAUL,319.2,228.5,40
37,VAISHALI,115.3,199.4,-42
38,WEST CHAMPARAN,318.2,237.1,34
