S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,211.9,284,-25
2,ARWAL,96.3,159.8,-40
3,AURANGABAD,132.3,187.7,-30
4,BANKA,71.5,198.7,-64
5,BEGUSARAI,86.5,241,-64
6,BHABUA,187.5,221.3,-15
7,BHAGALPUR,83.3,219.7,-62
8,BHOJPUR,65.2,207.2,-69
9,BUXAR,107.4,172.2,-38
10,DARBHANGA,96.5,186.6,-48
11,EAST CHAMPARAN,63,211.1,-70
12,GAYA,102.3,174.7,-41
13,GOPALGANJ,60,216.8,-72
14,JAHANABAD,83.5,185.1,-55
15,JAMUI,52.3,218.7,-76
16,KATIHAR,77.1,262,-71
17,KHAGARIA,91.4,225.7,-60
18,KISHANGANJ,211.3,354.5,-40
19,LAKHISARAI,51.9,200.6,-74
20,MADHEPURA,169.5,250.1,-32
21,MADHUBANI,142.8,180.9,-21
22,MONGHYR,105,225.9,-54
23,MUZAFFARPUR,57.3,216.7,-74
24,NALANDA,102.8,191.6,-46
25,NAWADA,162.5,178.4,-9
26,PATNA,96.8,203.3,-52
27,PURNEA,159.8,308.9,-48
28,ROHTAS,147.9,190.1,-22
29,SAHARSA,73.2,236.4,-69
30,SAMASTIPUR,109.1,223,-51
31,SARAN,59.2,195.8,-70
32,SHEIKHPURA,79.7,181.7,-56
33,SHEOHAR,37.7,206,-82
34,SITAMARHI,90.2,188.6,-52
35,SIWAN,76.2,212.9,-64
36,SUPAUL,143.4,228.5,-37
37,VAISHALI,88.5,199.4,-56
38,WEST CHAMPARAN,202.6,237.1,-15
