S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,363.9,340.9,7
2,ARWAL,203.6,204.5,0
3,AURANGABAD,200.9,251,-20
4,BANKA,309.7,247.7,25
5,BEGUSARAI,283.6,273.8,4
6,BHABUA,216.3,271.2,-20
7,BHAGALPUR,345.9,260.3,33
8,BHOJPUR,196.4,258.9,-24
9,BUXAR,444.1,232,91
10,DARBHANGA,195.9,254.7,-23
11,EAST CHAMPARAN,240.1,302,-21
12,GAYA,251.3,241.6,4
13,GOPALGANJ,348,272.7,28
14,JAHANABAD,113.6,238.2,-52
15,JAMUI,194.8,250.9,-22
16,KATIHAR,205.9,255.8,-19
17,KHAGARIA,237.5,252.1,-6
18,KISHANGANJ,436,451.7,-3
19,LAKHISARAI,163,222.7,-27
20,MADHEPURA,257.8,265.9,-3
21,MADHUBANI,255.4,268.5,-5
22,MONGHYR,265.8,276.1,-4
23,MUZAFFARPUR,237.1,261.9,-9
24,NALANDA,196,237.7,-18
25,NAWADA,207.8,242.4,-14
26,PATNA,224.6,237.8,-6
27,PURNEA,394.3,346.9,14
28,ROHTAS,219.7,248,-11
29,SAHARSA,271.6,276,-2
30,SAMASTIPUR,354.5,254.8,39
31,SARAN,181.3,258,-30
32,SHEIKHPURA,147.4,209.6,-30
33,SHEOHAR,194.3,266.9,-27
34,SITAMARHI,275,307.3,-10
35,SIWAN,238.7,249,-4
36,SUPAUL,230.4,262.5,-12
37,VAISHALI,254.9,244.3,4
38,WEST CHAMPARAN,428.5,355.8,20
