MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,93.7,262.6,-64
June,ARWAL,42.3,91.8,-54
June,AURANGABAD,55.2,126.8,-56
June,BANKA,165.2,139.5,18
June,BEGUSARAI,101.8,165.6,-39
June,BHABUA,81.1,111.7,-27
June,BHAGALPUR,156,179.5,-13
June,BHOJPUR,16.7,116.4,-86
June,BUXAR,79.4,110.6,-28
June,DARBHANGA,97,145.1,-33
June,EAST CHAMPARAN,76,177.8,-57
June,GAYA,121.5,135.4,-10
June,GOPALGANJ,51.1,142.8,-64
June,JAHANABAD,59.6,125.2,-52
June,JAMUI,49.1,147.4,-67
June,KATIHAR,185.3,211.9,-13
June,KHAGARIA,51.5,184.5,-72
June,KISHANGANJ,304.3,342.6,-11
June,LAKHISARAI,122.5,121.7,1
June,MADHEPURA,207.5,197.5,5
June,MADHUBANI,152.1,169.2,-10
June,MONGHYR,59.3,164,-64
June,MUZAFFARPUR,54,157,-66
June,NALANDA,85.6,119.2,-28
June,NAWADA,64.9,124.3,-48
June,PATNA,42,130.2,-68
June,PURNEA,214.8,279.7,-23
June,ROHTAS,73.3,115.4,-37
June,SAHARSA,117.2,195.6,-40
June,SAMASTIPUR,79.6,158.4,-50
June,SARAN,29.3,129.7,-77
June,SHEIKHPURA,35.2,130.1,-73
June,SHEOHAR,99.4,179.1,-45
June,SITAMARHI,100.3,188.9,-47
June,SIWAN,32.4,130.8,-75
June,SUPAUL,150.5,203.4,-26
June,VAISHALI,6.6,126.1,-95
June,WEST CHAMPARAN,144.7,200.8,-28
July,ARARIA,332.1,487.1,-32
July,ARWAL,156.6,249.1,-37
July,AURANGABAD,311.7,293.5,6
July,BANKA,406.2,284.7,43
July,BEGUSARAI,140.6,329.1,-57
July,BHABUA,364.6,286,27
July,BHAGALPUR,338.3,310.7,9
July,BHOJPUR,289.9,306.8,-6
July,BUXAR,429.2,270.6,59
July,DARBHANGA,246.8,313.2,-21
July,EAST CHAMPARAN,258,364.3,-29
July,GAYA,285.5,276.6,3
July,GOPALGANJ,302,336.3,-10
July,JAHANABAD,228.8,284.4,-20
July,JAMUI,302.2,319.4,-5
July,KATIHAR,185,349.2,-47
July,KHAGARIA,216.2,309,-30
July,KISHANGANJ,535.7,597.4,-10
July,LAKHISARAI,273.2,305.3,-11
July,MADHEPURA,218.9,332.8,-34
July,MADHUBANI,420.9,353.5,19
July,MONGHYR,275.2,353.9,-22
July,MUZAFFARPUR,188.2,332.2,-43
July,NALANDA,221.8,304.3,-27
July,NAWADA,292.5,281.4,4
July,PATNA,260.3,315.6,-18
July,PURNEA,244.2,476.3,-49
July,ROHTAS,221.8,288.8,-23
July,SAHARSA,141.3,375.3,-62
July,SAMASTIPUR,230.1,309.5,-26
July,SARAN,182.2,315.9,-42
July,SHEIKHPURA,293.1,296.6,-1
July,SHEOHAR,360.8,356.7,1
July,SITAMARHI,405.8,375.5,8
July,SIWAN,209.6,308.3,-32
July,SUPAUL,258.6,391.3,-34
July,VAISHALI,174.3,335.6,-48
July,WEST CHAMPARAN,521.7,438.5,19
August,ARARIA,363.9,340.9,7
August,ARWAL,203.6,204.5,0
August,AURANGABAD,200.9,251,-20
August,BANKA,309.7,247.7,25
August,BEGUSARAI,283.6,273.8,4
August,BHABUA,216.3,271.2,-20
August,BHAGALPUR,345.9,260.3,33
August,BHOJPUR,196.4,258.9,-24
August,BUXAR,444.1,232,91
August,DARBHANGA,195.9,254.7,-23
August,EAST CHAMPARAN,240.1,302,-21
August,GAYA,251.3,241.6,4
August,GOPALGANJ,348,272.7,28
August,JAHANABAD,113.6,238.2,-52
August,JAMUI,194.8,250.9,-22
August,KATIHAR,205.9,255.8,-19
August,KHAGARIA,237.5,252.1,-6
August,KISHANGANJ,436,451.7,-3
August,LAKHISARAI,163,222.7,-27
August,MADHEPURA,257.8,265.9,-3
August,MADHUBANI,255.4,268.5,-5
August,MONGHYR,265.8,276.1,-4
August,MUZAFFARPUR,237.1,261.9,-9
August,NALANDA,196,237.7,-18
August,NAWADA,207.8,242.4,-14
August,PATNA,224.6,237.8,-6
August,PURNEA,394.3,346.9,14
August,ROHTAS,219.7,248,-11
August,SAHARSA,271.6,276,-2
August,SAMASTIPUR,354.5,254.8,39
August,SARAN,181.3,258,-30
August,SHEIKHPURA,147.4,209.6,-30
August,SHEOHAR,194.3,266.9,-27
August,SITAMARHI,275,307.3,-10
August,SIWAN,238.7,249,-4
August,SUPAUL,230.4,262.5,-12
August,VAISHALI,254.9,244.3,4
August,WEST CHAMPARAN,428.5,355.8,20
September,ARARIA,211.9,284,-25
September,ARWAL,96.3,159.8,-40
September,AURANGABAD,132.3,187.7,-30
September,BANKA,71.5,198.7,-64
September,BEGUSARAI,86.5,241,-64
September,BHABUA,187.5,221.3,-15
September,BHAGALPUR,83.3,219.7,-62
September,BHOJPUR,65.2,207.2,-69
September,BUXAR,107.4,172.2,-38
September,DARBHANGA,96.5,186.6,-48
September,EAST CHAMPARAN,63,211.1,-70
September,GAYA,102.3,174.7,-41
September,GOPALGANJ,60,216.8,-72
September,JAHANABAD,83.5,185.1,-55
September,JAMUI,52.3,218.7,-76
September,KATIHAR,77.1,262,-71
September,KHAGARIA,91.4,225.7,-60
September,KISHANGANJ,211.3,354.5,-40
September,LAKHISARAI,51.9,200.6,-74
September,MADHEPURA,169.5,250.1,-32
September,MADHUBANI,142.8,180.9,-21
September,MONGHYR,105,225.9,-54
September,MUZAFFARPUR,57.3,216.7,-74
September,NALANDA,102.8,191.6,-46
September,NAWADA,162.5,178.4,-9
September,PATNA,96.8,203.3,-52
September,PURNEA,159.8,308.9,-48
September,ROHTAS,147.9,190.1,-22
September,SAHARSA,73.2,236.4,-69
September,SAMASTIPUR,109.1,223,-51
September,SARAN,59.2,195.8,-70
September,SHEIKHPURA,79.7,181.7,-56
September,SHEOHAR,37.7,206,-82
September,SITAMARHI,90.2,188.6,-52
September,SIWAN,76.2,212.9,-64
September,SUPAUL,143.4,228.5,-37
September,VAISHALI,88.5,199.4,-56
September,WEST CHAMPARAN,202.6,237.1,-15
