S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,332.1,487.1,-32
2,ARWAL,156.6,249.1,-37
3,AURANGABAD,311.7,293.5,6
4,BANKA,406.2,284.7,43
5,BEGUSARAI,140.6,329.1,-57
6,BHABUA,364.6,286,27
7,BHAGALPUR,338.3,310.7,9
8,BHOJPUR,289.9,306.8,-6
9,BUXAR,429.2,270.6,59
10,DARBHANGA,246.8,313.2,-21
11,EAST CHAMPARAN,258,364.3,-29
12,GAYA,285.5,276.6,3
13,GOPALGANJ,302,336.3,-10
14,JAHANABAD,228.8,284.4,-20
15,JAMUI,302.2,319.4,-5
16,KATIHAR,185,349.2,-47
17,KHAGARIA,216.2,309,-30
18,KISHANGANJ,535.7,597.4,-10
19,LAKHISARAI,273.2,305.3,-11
20,MADHEPURA,218.9,332.8,-34
21,MADHUBANI,420.9,353.5,19
22,MONGHYR,275.2,353.9,-22
23,MUZAFFARPUR,188.2,332.2,-43
24,NALANDA,221.8,304.3,-27
25,NAWADA,292.5,281.4,4
26,PATNA,260.3,315.6,-18
27,PURNEA,244.2,476.3,-49
28,ROHTAS,221.8,288.8,-23
29,SAHARSA,141.3,375.3,-62
30,SAMASTIPUR,230.1,309.5,-26
31,SARAN,182.2,315.9,-42
32,SHEIKHPURA,293.1,296.6,-1
33,SHEOHAR,360.8,356.7,1
34,SITAMARHI,405.8,375.5,8
35,SIWAN,209.6,308.3,-32
36,SUPAUL,258.6,391.3,-34
37,VAISHALI,174.3,335.6,-48
38,WEST CHAMPARAN,521.7,438.5,19
