S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,448.3,284,58
2,ARWAL,223.4,159.8,40
3,AURANGABAD,331.9,187.7,77
4,BANKA,376.3,198.7,89
5,BEGUSARAI,447,241,85
6,BHABUA,390.5,221.3,76
7,BHAGALPUR,502.2,219.7,129
8,BHOJPUR,388.2,207.2,87
9,BUXAR,394.6,172.2,129
10,DARBHANGA,337.5,186.6,81
11,EAST CHAMPARAN,340.6,211.1,61
12,GAYA,360.4,174.7,106
13,GOPALGANJ,483.9,216.8,123
14,JAHANABAD,392.1,185.1,112
15,JAMUI,309.7,218.7,42
16,KATIHAR,401.9,262,53
17,KHAGARIA,423.9,225.7,88
18,KISHANGANJ,385.3,354.5,9
19,LAKHISARAI,282.5,200.6,41
20,MADHEPURA,482.5,250.1,93
21,MADHUBANI,361.2,180.9,100
22,MONGHYR,312.6,225.9,38
23,MUZAFFARPUR,406,216.7,87
24,NALANDA,514,191.6,168
25,NAWADA,408.4,178.4,129
26,PATNA,431.2,203.3,112
27,PURNEA,528.3,308.9,71
28,ROHTAS,360.3,190.1,90
29,SAHARSA,376.7,236.4,59
30,SAMASTIPUR,606.4,223,172
31,SARAN,315.2,195.8,61
32,SHEIKHPURA,251.2,181.7,38
33,SHEOHAR,280,206,36
34,SITAMARHI,294.8,188.6,56
35,SIWAN,413.5,212.9,94
36,SUPAUL,491.2,228.5,115
37,VAISHALI,471.7,199.4,137
38,WEST CHAMPARAN,260.9,237.1,10
