S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,198.7,262.6,-24
2,ARWAL,30.7,91.8,-67
3,AURANGABAD,15.2,126.8,-88
4,BANKA,56.7,139.5,-59
5,BEGUSARAI,19.2,165.6,-88
6,BHABUA,83.9,111.7,-25
7,BHAGALPUR,71.1,179.5,-60
8,BHOJPUR,32.6,116.4,-72
9,BUXAR,68.6,110.6,-38
10,DARBHANGA,96,145.1,-34
11,EAST CHAMPARAN,95.3,177.8,-46
12,GAYA,62.7,135.4,-54
13,GOPALGANJ,145.8,142.8,2
14,JAHANABAD,45.6,125.2,-64
15,JAMUI,48.8,147.4,-67
16,KATIHAR,114.8,211.9,-46
17,KHAGARIA,57.8,184.5,-69
18,KISHANGANJ,250.7,342.6,-27
19,LAKHISARAI,28.9,121.7,-76
20,MADHEPURA,168.6,197.5,-15
21,MADHUBANI,76.8,169.2,-55
22,MONGHYR,24.8,164,-85
23,MUZAFFARPUR,47.1,157,-70
24,NALANDA,50.6,119.2,-58
25,NAWADA,40.7,124.3,-67
26,PATNA,42.5,130.2,-67
27,PURNEA,251.5,279.7,-10
28,ROHTAS,18.2,115.4,-84
29,SAHARSA,93,195.6,-52
30,SAMASTIPUR,63.8,158.4,-60
31,SARAN,65.7,129.7,-49
32,SHEIKHPURA,9.4,130.1,-93
33,SHEOHAR,43.4,179.1,-76
34,SITAMARHI,96.2,188.9,-49
35,SIWAN,63.2,130.8,-52
36,SUPAUL,181.7,203.4,-11
37,VAISHALI,44.3,126.1,-65
38,WEST CHAMPARAN,377.3,200.8,88
