S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1414.5,1374.6,3
2,ARWAL,518.6,705.2,-26
3,AURANGABAD,854.3,859,-1
4,BANKA,823.3,870.6,-5
5,BEGUSARAI,769.1,1009.5,-24
6,BHABUA,1065.2,890.2,20
7,BHAGALPUR,1073.2,970.2,11
8,BHOJPUR,863.6,889.3,-3
9,BUXAR,1084.2,785.4,38
10,DARBHANGA,976.7,899.6,9
11,EAST CHAMPARAN,1155.3,1055.2,9
12,GAYA,849,828.3,3
13,GOPALGANJ,1367.5,968.6,41
14,JAHANABAD,835.3,832.9,0
15,JAMUI,812.6,936.4,-13
16,KATIHAR,1015.9,1078.9,-6
17,KHAGARIA,975.5,971.3,0
18,KISHANGANJ,1738.2,1746.2,0
19,LAKHISARAI,711.2,850.3,-16
20,MADHEPURA,1280.2,1046.3,22
21,MADHUBANI,1008.3,972.1,4
22,MONGHYR,848.2,1019.9,-17
23,MUZAFFARPUR,1075.9,967.8,11
24,NALANDA,955,852.8,12
25,NAWADA,916.8,826.5,11
26,PATNA,860.3,886.9,-3
27,PURNEA,1325.5,1411.8,-6
28,ROHTAS,781.9,842.3,-7
29,SAHARSA,1028.2,1083.3,-5
30,SAMASTIPUR,1304.6,945.7,38
31,SARAN,983.2,899.4,9
32,SHEIKHPURA,617.8,818,-24
33,SHEOHAR,1013,1008.7,0
34,SITAMARHI,1068.9,1060.3,1
35,SIWAN,1273.3,901,41
36,SUPAUL,1289.2,1085.7,19
37,VAISHALI,978.1,905.4,8
38,WEST CHAMPARAN,1434.1,1232.2,16
