S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,612.2,487.1,26
2,ARWAL,185.6,249.1,-25
3,AURANGABAD,238.3,293.5,-19
4,BANKA,272.8,284.7,-4
5,BEGUSARAI,196.7,329.1,-40
6,BHABUA,364.9,286,28
7,BHAGALPUR,397.6,310.7,28
8,BHOJPUR,358.2,306.8,17
9,BUXAR,465.7,270.6,72
10,DARBHANGA,416.4,313.2,33
11,EAST CHAMPARAN,665.4,364.3,83
12,GAYA,201.7,276.6,-27
13,GOPALGANJ,611.1,336.3,82
14,JAHANABAD,206.1,284.4,-28
15,JAMUI,324.2,319.4,2
16,KATIHAR,377.6,349.2,8
17,KHAGARIA,395.6,309,28
18,KISHANGANJ,915.1,597.4,53
19,LAKHISARAI,297.9,305.3,-2
20,MADHEPURA,533.6,332.8,60
21,MADHUBANI,468.2,353.5,32
22,MONGHYR,401,353.9,13
23,MUZAFFARPUR,549.4,332.2,65
24,NALANDA,255.8,304.3,-16
25,NAWADA,301.9,281.4,7
26,PATNA,278.7,315.6,-12
27,PURNEA,352.2,476.3,-26
28,ROHTAS,213.9,288.8,-26
29,SAHARSA,403.3,375.3,7
30,SAMASTIPUR,406.4,309.5,31
31,SARAN,480.8,315.9,52
32,SHEIKHPURA,254.8,296.6,-14
33,SHEOHAR,595.8,356.7,67
34,SITAMARHI,621.4,375.5,65
35,SIWAN,714.2,308.3,132
36,SUPAUL,501.7,391.3,28
37,VAISHALI,330.2,335.6,-2
38,WEST CHAMPARAN,641.9,438.5,46
