MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,198.7,262.6,-24
June,ARWAL,30.7,91.8,-67
June,AURANGABAD,15.2,126.8,-88
June,BANKA,56.7,139.5,-59
June,BEGUSARAI,19.2,165.6,-88
June,BHABUA,83.9,111.7,-25
June,BHAGALPUR,71.1,179.5,-60
June,BHOJPUR,32.6,116.4,-72
June,BUXAR,68.6,110.6,-38
June,DARBHANGA,96,145.1,-34
June,EAST CHAMPARAN,95.3,177.8,-46
June,GAYA,62.7,135.4,-54
June,GOPALGANJ,145.8,142.8,2
June,JAHANABAD,45.6,125.2,-64
June,JAMUI,48.8,147.4,-67
June,KATIHAR,114.8,211.9,-46
June,KHAGARIA,57.8,184.5,-69
June,KISHANGANJ,250.7,342.6,-27
June,LAKHISARAI,28.9,121.7,-76
June,MADHEPURA,168.6,197.5,-15
June,MADHUBANI,76.8,169.2,-55
June,MONGHYR,24.8,164,-85
June,MUZAFFARPUR,47.1,157,-70
June,NALANDA,50.6,119.2,-58
June,NAWADA,40.7,124.3,-67
June,PATNA,42.5,130.2,-67
June,PURNEA,251.5,279.7,-10
June,ROHTAS,18.2,115.4,-84
June,SAHARSA,93,195.6,-52
June,SAMASTIPUR,63.8,158.4,-60
June,SARAN,65.7,129.7,-49
June,SHEIKHPURA,9.4,130.1,-93
June,SHEOHAR,43.4,179.1,-76
June,SITAMARHI,96.2,188.9,-49
June,SIWAN,63.2,130.8,-52
June,SUPAUL,181.7,203.4,-11
June,VAISHALI,44.3,126.1,-65
June,WEST CHAMPARAN,377.3,200.8,88
July,ARARIA,612.2,487.1,26
July,ARWAL,185.6,249.1,-25
July,AURANGABAD,238.3,293.5,-19
July,BANKA,272.8,284.7,-4
July,BEGUSARAI,196.7,329.1,-40
July,BHABUA,364.9,286,28
July,BHAGALPUR,397.6,310.7,28
July,BHOJPUR,358.2,306.8,17
July,BUXAR,465.7,270.6,72
July,DARBHANGA,416.4,313.2,33
July,EAST CHAMPARAN,665.4,364.3,83
July,GAYA,201.7,276.6,-27
July,GOPALGANJ,611.1,336.3,82
July,JAHANABAD,206.1,284.4,-28
July,JAMUI,324.2,319.4,2
July,KATIHAR,377.6,349.2,8
July,KHAGARIA,395.6,309,28
July,KISHANGANJ,915.1,597.4,53
July,LAKHISARAI,297.9,305.3,-2
July,MADHEPURA,533.6,332.8,60
July,MADHUBANI,468.2,353.5,32
July,MONGHYR,401,353.9,13
July,MUZAFFARPUR,549.4,332.2,65
July,NALANDA,255.8,304.3,-16
July,NAWADA,301.9,281.4,7
July,PATNA,278.7,315.6,-12
July,PURNEA,352.2,476.3,-26
July,ROHTAS,213.9,288.8,-26
July,SAHARSA,403.3,375.3,7
July,SAMASTIPUR,406.4,309.5,31
July,SARAN,480.8,315.9,52
July,SHEIKHPURA,254.8,296.6,-14
July,SHEOHAR,595.8,356.7,67
July,SITAMARHI,621.4,375.5,65
July,SIWAN,714.2,308.3,132
July,SUPAUL,501.7,391.3,28
July,VAISHALI,330.2,335.6,-2
July,WEST CHAMPARAN,641.9,438.5,46
August,ARARIA,155.4,340.9,-54
August,ARWAL,78.9,204.5,-61
August,AURANGABAD,269,251,7
August,BANKA,117.5,247.7,-53
