S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1681.1,1374.6,22
2,ARWAL,1114.6,705.2,58
3,AURANGABAD,1178.5,859,37
4,BANKA,1116.3,870.6,28
5,BEGUSARAI,838.6,1009.5,-17
6,BHABUA,1098.5,890.2,23
7,BHAGALPUR,857.3,970.2,-12
8,BHOJPUR,813.2,889.3,-9
9,BUXAR,801.8,785.4,2
10,DARBHANGA,957.8,899.6,6
11,EAST CHAMPARAN,716.3,1055.2,-32
12,GAYA,1243.8,828.3,50
13,GOPALGANJ,732.9,968.6,-24
14,JAHANABAD,970.9,832.9,17
15,JAMUI,1043.5,936.4,11
16,KATIHAR,857.8,1078.9,-20
17,KHAGARIA,609,971.3,-37
18,KISHANGANJ,2103.4,1746.2,20
19,LAKHISARAI,1018.6,850.3,20
20,MADHEPURA,1097.2,1046.3,5
21,MADHUBANI,882.6,972.1,-9
22,MONGHYR,822.2,1019.9,-19
23,MUZAFFARPUR,744.9,967.8,-23
24,NALANDA,910.5,852.8,7
25,NAWADA,911.7,826.5,10
26,PATNA,859.6,886.9,-3
27,PURNEA,1061.2,1411.8,-25
28,ROHTAS,1049.5,842.3,25
29,SAHARSA,900.8,1083.3,-17
30,SAMASTIPUR,1012.2,945.7,7
31,SARAN,685.7,899.4,-24
32,SHEIKHPURA,905.4,818,11
33,SHEOHAR,580.3,1008.7,-42
34,SITAMARHI,691.4,1060.3,-35
35,SIWAN,792.3,901,-12
36,SUPAUL,1199.6,1085.7,10
37,VAISHALI,724.6,905.4,-20
38,WEST CHAMPARAN,1223.3,1232.2,-1
