S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,276.4,262.6,5
2,ARWAL,99.3,91.8,8
3,AURANGABAD,124.4,126.8,-2
4,BANKA,267.2,139.5,92
5,BEGUSARAI,80.2,165.6,-52
6,BHABUA,55.7,111.7,-50
7,BHAGALPUR,104.9,179.5,-42
8,BHOJPUR,51,116.4,-56
9,BUXAR,117.8,110.6,7
10,DARBHANGA,149.5,145.1,3
11,EAST CHAMPARAN,113.8,177.8,-36
12,GAYA,85.3,135.4,-37
13,GOPALGANJ,99.5,142.8,-30
14,JAHANABAD,77.4,125.2,-38
15,JAMUI,100,147.4,-32
16,KATIHAR,67.3,211.9,-68
17,KHAGARIA,40.4,184.5,-78
18,KISHANGANJ,425,342.6,24
19,LAKHISARAI,72.2,121.7,-41
20,MADHEPURA,176.6,197.5,-11
21,MADHUBANI,201,169.2,19
22,MONGHYR,15,164,-91
23,MUZAFFARPUR,85,157,-46
24,NALANDA,99.1,119.2,-17
25,NAWADA,88,124.3,-29
26,PATNA,75.9,130.2,-42
27,PURNEA,217.6,279.7,-22
28,ROHTAS,54,115.4,-53
29,SAHARSA,87.4,195.6,-55
30,SAMASTIPUR,121.7,158.4,-23
31,SARAN,54,129.7,-58
32,SHEIKHPURA,180.9,130.1,39
33,SHEOHAR,13.8,179.1,-92
34,SITAMARHI,115.6,188.9,-39
35,SIWAN,39.7,130.8,-70
36,SUPAUL,311.8,203.4,53
37,VAISHALI,66.7,126.1,-47
38,WEST CHAMPARAN,242.7,200.8,21
