S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,690.4,487.1,42
2,ARWAL,368.9,249.1,48
3,AURANGABAD,346.4,293.5,18
4,BANKA,281,284.7,-1
5,BEGUSARAI,285.8,329.1,-13
6,BHABUA,400.5,286,40
7,BHAGALPUR,315.3,310.7,1
8,BHOJPUR,331.7,306.8,8
9,BUXAR,342.2,270.6,26
10,DARBHANGA,354.9,313.2,13
11,EAST CHAMPARAN,234.9,364.3,-36
12,GAYA,399.2,276.6,44
13,GOPALGANJ,257.1,336.3,-24
14,JAHANABAD,278.9,284.4,-2
15,JAMUI,284.9,319.4,-11
16,KATIHAR,363.7,349.2,4
17,KHAGARIA,227.1,309,-26
18,KISHANGANJ,827.7,597.4,39
19,LAKHISARAI,341,305.3,12
20,MADHEPURA,359.8,332.8,8
21,MADHUBANI,287.3,353.5,-19
22,MONGHYR,219.6,353.9,-38
23,MUZAFFARPUR,266.9,332.2,-20
24,NALANDA,394.8,304.3,30
25,NAWADA,270.9,281.4,-4
26,PATNA,289.5,315.6,-8
27,PURNEA,396.8,476.3,-17
28,ROHTAS,489.3,288.8,69
29,SAHARSA,298.7,375.3,-20
30,SAMASTIPUR,465.2,309.5,50
31,SARAN,239.1,315.9,-24
32,SHEIKHPURA,211.5,296.6,-29
33,SHEOHAR,237.2,356.7,-34
34,SITAMARHI,191.6,375.5,-49
35,SIWAN,313.8,308.3,2
36,SUPAUL,300.2,391.3,-23
37,VAISHALI,306.8,335.6,-9
38,WEST CHAMPARAN,528.9,438.5,21
