MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,276.4,262.6,5
June,ARWAL,99.3,91.8,8
June,AURANGABAD,124.4,126.8,-2
June,BANKA,267.2,139.5,92
June,BEGUSARAI,80.2,165.6,-52
June,BHABUA,55.7,111.7,-50
June,BHAGALPUR,104.9,179.5,-42
June,BHOJPUR,51,116.4,-56
June,BUXAR,117.8,110.6,7
June,DARBHANGA,149.5,145.1,3
June,EAST CHAMPARAN,113.8,177.8,-36
June,GAYA,85.3,135.4,-37
June,GOPALGANJ,99.5,142.8,-30
June,JAHANABAD,77.4,125.2,-38
June,JAMUI,100,147.4,-32
June,KATIHAR,67.3,211.9,-68
June,KHAGARIA,40.4,184.5,-78
June,KISHANGANJ,425,342.6,24
June,LAKHISARAI,72.2,121.7,-41
June,MADHEPURA,176.6,197.5,-11
June,MADHUBANI,201,169.2,19
June,MONGHYR,15,164,-91
June,MUZAFFARPUR,85,157,-46
June,NALANDA,99.1,119.2,-17
June,NAWADA,88,124.3,-29
June,PATNA,75.9,130.2,-42
June,PURNEA,217.6,279.7,-22
June,ROHTAS,54,115.4,-53
June,SAHARSA,87.4,195.6,-55
June,SAMASTIPUR,121.7,158.4,-23
June,SARAN,54,129.7,-58
June,SHEIKHPURA,180.9,130.1,39
June,SHEOHAR,13.8,179.1,-92
June,SITAMARHI,115.6,188.9,-39
June,SIWAN,39.7,130.8,-70
June,SUPAUL,311.8,203.4,53
June,VAISHALI,66.7,126.1,-47
June,WEST CHAMPARAN,242.7,200.8,21
July,ARARIA,690.4,487.1,42
July,ARWAL,368.9,249.1,48
July,AURANGABAD,346.4,293.5,18
July,BANKA,281,284.7,-1
July,BEGUSARAI,285.8,329.1,-13
July,BHABUA,400.5,286,40
July,BHAGALPUR,315.3,310.7,1
July,BHOJPUR,331.7,306.8,8
July,BUXAR,342.2,270.6,26
July,DARBHANGA,354.9,313.2,13
July,EAST CHAMPARAN,234.9,364.3,-36
July,GAYA,399.2,276.6,44
July,GOPALGANJ,257.1,336.3,-24
July,JAHANABAD,278.9,284.4,-2
July,JAMUI,284.9,319.4,-11
July,KATIHAR,363.7,349.2,4
July,KHAGARIA,227.1,309,-26
July,KISHANGANJ,827.7,597.4,39
July,LAKHISARAI,341,305.3,12
July,MADHEPURA,359.8,332.8,8
July,MADHUBANI,287.3,353.5,-19
July,MONGHYR,219.6,353.9,-38
