S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,492.8,466.4,6
2,ARWAL,194.3,261.7,-26
3,AURANGABAD,194.2,295.6,-34
4,BANKA,278.1,298.3,-7
5,BEGUSARAI,395.9,353.5,12
6,BHABUA,272.5,296.3,-8
7,BHAGALPUR,440.4,308.1,43
8,BHOJPUR,293.7,342.4,-14
9,BUXAR,364.7,282,29
10,DARBHANGA,660.5,295.9,123
11,EAST CHAMPARAN,747.5,366,104
12,GAYA,226.9,289.2,-22
13,GOPALGANJ,523.9,334.9,56
14,JAHANABAD,235.8,269.5,-13
15,JAMUI,228.4,306.4,-25
16,KATIHAR,488,355.6,37
17,KHAGARIA,303.4,316.6,-4
18,KISHANGANJ,684.4,613,12
19,LAKHISARAI,304.1,269.4,13
20,MADHEPURA,621.2,359.1,73
21,MADHUBANI,532.8,366.1,46
22,MONGHYR,399.2,341.7,17
23,MUZAFFARPUR,574,340.1,69
24,NALANDA,161.2,301.4,-47
25,NAWADA,266.5,275.7,-3
26,PATNA,355.2,335.4,6
27,PURNEA,516.9,498.5,4
28,ROHTAS,216.7,292.3,-26
29,SAHARSA,360,489.8,-27
30,SAMASTIPUR,573,326.6,75
31,SARAN,452.6,318.7,42
32,SHEIKHPURA,175.8,290.6,-40
33,SHEOHAR,750.4,355.4,111
34,SITAMARHI,685.1,384.4,78
35,SIWAN,521.1,321.9,62
36,SUPAUL,627.4,387.2,62
37,VAISHALI,444.7,341.4,30
38,WEST CHAMPARAN,850.5,460.2,85
