S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,526.7,252.6,109
2,ARWAL,197.4,103.7,90
3,AURANGABAD,266.9,125.2,113
4,BANKA,241.8,147.5,64
5,BEGUSARAI,248.1,166.6,49
6,BHABUA,240.5,127.2,89
7,BHAGALPUR,209.8,180.5,16
8,BHOJPUR,278.4,113.1,146
9,BUXAR,238.3,107,123
10,DARBHANGA,325,149.6,117
11,EAST CHAMPARAN,352.5,181.1,95
12,GAYA,225,140.7,60
13,GOPALGANJ,394,147.2,168
14,JAHANABAD,310.6,118.4,162
15,JAMUI,229.4,157.1,46
16,KATIHAR,163.8,214.6,-24
17,KHAGARIA,305.9,188.2,63
18,KISHANGANJ,644.8,351.6,83
19,LAKHISARAI,278.4,125.9,121
20,MADHEPURA,317,215.4,47
21,MADHUBANI,336.8,160.5,110
22,MONGHYR,224.4,169.1,33
23,MUZAFFARPUR,363.5,158,130
24,NALANDA,290.4,127.5,128
25,NAWADA,205.7,134.6,53
26,PATNA,265.2,127,109
27,PURNEA,535.3,286.4,87
28,ROHTAS,243.7,110.8,120
29,SAHARSA,255.1,224.4,14
30,SAMASTIPUR,299.1,160,87
31,SARAN,323.5,133.5,142
32,SHEIKHPURA,121.1,143.4,-16
33,SHEOHAR,273.7,188.1,46
34,SITAMARHI,331.9,190.8,74
35,SIWAN,323.4,143.6,125
36,SUPAUL,467.9,204.2,129
37,VAISHALI,304.8,141.7,115
38,WEST CHAMPARAN,313.1,213,47
