MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,526.7,252.6,109
June,ARWAL,197.4,103.7,90
June,AURANGABAD,266.9,125.2,113
June,BANKA,241.8,147.5,64
June,BEGUSARAI,248.1,166.6,49
June,BHABUA,240.5,127.2,89
June,BHAGALPUR,209.8,180.5,16
June,BHOJPUR,278.4,113.1,146
June,BUXAR,238.3,107,123
June,DARBHANGA,325,149.6,117
June,EAST CHAMPARAN,352.5,181.1,95
June,GAYA,225,140.7,60
June,GOPALGANJ,394,147.2,168
June,JAHANABAD,310.6,118.4,162
June,JAMUI,229.4,157.1,46
June,KATIHAR,163.8,214.6,-24
June,KHAGARIA,305.9,188.2,63
June,KISHANGANJ,644.8,351.6,83
June,LAKHISARAI,278.4,125.9,121
June,MADHEPURA,317,215.4,47
June,MADHUBANI,336.8,160.5,110
June,MONGHYR,224.4,169.1,33
June,MUZAFFARPUR,363.5,158,130
June,NALANDA,290.4,127.5,128
June,NAWADA,205.7,134.6,53
June,PATNA,265.2,127,109
June,PURNEA,535.3,286.4,87
June,ROHTAS,243.7,110.8,120
June,SAHARSA,255.1,224.4,14
June,SAMASTIPUR,299.1,160,87
June,SARAN,323.5,133.5,142
June,SHEIKHPURA,121.1,143.4,-16
June,SHEOHAR,273.7,188.1,46
June,SITAMARHI,331.9,190.8,74
June,SIWAN,323.4,143.6,125
June,SUPAUL,467.9,204.2,129
June,VAISHALI,304.8,141.7,115
June,WEST CHAMPARAN,313.1,213,47
July,ARARIA,492.8,466.4,6
July,ARWAL,194.3,261.7,-26
July,AURANGABAD,194.2,295.6,-34
July,BANKA,278.1,298.3,-7
July,BEGUSARAI,395.9,353.5,12
July,BHABUA,272.5,296.3,-8
July,BHAGALPUR,440.4,308.1,43
July,BHOJPUR,293.7,342.4,-14
July,BUXAR,364.7,282,29
July,DARBHANGA,660.5,295.9,123
July,EAST CHAMPARAN,747.5,366,104
July,GAYA,226.9,289.2,-22
July,GOPALGANJ,523.9,334.9,56
July,JAHANABAD,235.8,269.5,-13
July,JAMUI,228.4,306.4,-25
July,KATIHAR,488,355.6,37
July,KHAGARIA,303.4,316.6,-4
July,KISHANGANJ,684.4,613,12
July,LAKHISARAI,304.1,269.4,13
July,MADHEPURA,621.2,359.1,73
July,MADHUBANI,532.8,366.1,46
July,MONGHYR,399.2,341.7,17
July,MUZAFFARPUR,574,340.1,69
July,NALANDA,161.2,301.4,-47
July,NAWADA,266.5,275.7,-3
July,PATNA,355.2,335.4,6
July,PURNEA,516.9,498.5,4
July,ROHTAS,216.7,292.3,-26
July,SAHARSA,360,489.8,-27
July,SAMASTIPUR,573,326.6,75
July,SARAN,452.6,318.7,42
July,SHEIKHPURA,175.8,290.6,-40
July,SHEOHAR,750.4,355.4,111
July,SITAMARHI,685.1,384.4,78
July,SIWAN,521.1,321.9,62
July,SUPAUL,627.4,387.2,62
July,VAISHALI,444.7,341.4,30
July,WEST CHAMPARAN,850.5,460.2,85
August,ARARIA,256.9,345,-26
August,ARWAL,151.2,223.1,-32
August,AURANGABAD,170.4,250.4,-32
August,BANKA,164.2,258.7,-37
August,BEGUSARAI,164.7,289.9,-43
August,BHABUA,149,278.9,-47
August,BHAGALPUR,222.6,262.8,-15
August,BHOJPUR,186.5,260.8,-28
August,BUXAR,270.2,259.1,4
August,DARBHANGA,143.3,269.4,-47
August,EAST CHAMPARAN,240.9,308.2,-22
August,GAYA,180.6,248.7,-27
August,GOPALGANJ,185.8,284.8,-35
August,JAHANABAD,243.1,248.3,-2
August,JAMUI,157.8,249.7,-37
August,KATIHAR,310.2,268.8,15
August,KHAGARIA,205.5,257,-20
August,KISHANGANJ,254.7,473.5,-46
August,LAKHISARAI,127,261.1,-51
August,MADHEPURA,235.8,295.3,-20
August,MADHUBANI,208.8,279.8,-25
August,MONGHYR,247.5,279.9,-12
August,MUZAFFARPUR,177.5,284.1,-38
August,NALANDA,195.5,243.6,-20
August,NAWADA,244.5,249.6,-2
August,PATNA,209.2,255.7,-18
August,PURNEA,330,370,-11
August,ROHTAS,214.8,268.1,-20
August,SAHARSA,161.8,298.9,-46
August,SAMASTIPUR,198.4,267.4,-26
August,SARAN,128.4,282.2,-54
August,SHEIKHPURA,132.9,227.4,-42
August,SHEOHAR,173.2,292.6,-41
August,SITAMARHI,225.7,310.1,-27
