S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,661.1,269.4,145
2,ARWAL,99.3,162.6,-39
3,AURANGABAD,176,183.6,-4
4,BANKA,295.5,207.6,42
5,BEGUSARAI,273.4,236.3,16
6,BHABUA,60.5,225,-73
7,BHAGALPUR,321.2,220.9,45
8,BHOJPUR,255.8,209.4,22
9,BUXAR,158.6,180.8,-12
10,DARBHANGA,290.4,176.3,65
11,EAST CHAMPARAN,254.5,201.1,27
12,GAYA,144.2,179.2,-20
13,GOPALGANJ,445.9,208.5,114
14,JAHANABAD,159.6,182.5,-13
15,JAMUI,290.4,216.8,34
16,KATIHAR,580.7,267.4,117
17,KHAGARIA,273,232.7,17
18,KISHANGANJ,780.6,348.1,124
19,LAKHISARAI,314.5,189.3,66
20,MADHEPURA,326.7,248.7,31
21,MADHUBANI,269.2,169.5,59
22,MONGHYR,322.9,233.5,38
23,MUZAFFARPUR,341.7,216.6,58
24,NALANDA,278.5,189.8,47
25,NAWADA,232,181.6,28
26,PATNA,248.5,202.6,23
27,PURNEA,603,307.4,96
28,ROHTAS,115.8,192.6,-40
29,SAHARSA,235.1,244.1,-4
30,SAMASTIPUR,310.7,221.6,40
31,SARAN,325,198.7,64
32,SHEIKHPURA,238.7,182.7,31
33,SHEOHAR,355.2,206.3,72
34,SITAMARHI,293.6,176.1,67
35,SIWAN,246.2,219.2,12
36,SUPAUL,477.8,217.5,120
37,VAISHALI,238.5,206.2,16
38,WEST CHAMPARAN,607.8,236.3,157
