S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1937.5,1333.4,-45
2,ARWAL,642.2,751.1,14
3,AURANGABAD,807.5,854.8,6
4,BANKA,979.6,912.1,-7
5,BEGUSARAI,1082.1,1046.3,-3
6,BHABUA,722.5,927.4,22
7,BHAGALPUR,1194,972.3,-23
8,BHOJPUR,1014.4,925.7,-10
9,BUXAR,1031.8,828.9,-24
10,DARBHANGA,1419.2,891.2,-59
11,EAST CHAMPARAN,1595.4,1056.4,-51
12,GAYA,776.7,857.8,9
13,GOPALGANJ,1549.6,975.4,-59
14,JAHANABAD,949.1,818.7,-16
15,JAMUI,906,930,3
16,KATIHAR,1542.7,1106.4,-39
17,KHAGARIA,1087.8,994.5,-9
18,KISHANGANJ,2364.5,1786.2,-32
19,LAKHISARAI,1024,845.7,-21
20,MADHEPURA,1500.7,1118.5,-34
21,MADHUBANI,1347.6,975.9,-38
22,MONGHYR,1194,1024.2,-17
23,MUZAFFARPUR,1456.7,998.8,-46
24,NALANDA,925.6,862.3,-7
25,NAWADA,948.7,841.5,-13
26,PATNA,1078.1,920.7,-17
27,PURNEA,1985.2,1462.3,-36
28,ROHTAS,791,863.8,8
29,SAHARSA,1012,1257.2,20
30,SAMASTIPUR,1381.2,975.6,-42
31,SARAN,1229.5,933.1,-32
32,SHEIKHPURA,668.5,844.1,21
33,SHEOHAR,1552.5,1042.4,-49
34,SITAMARHI,1536.3,1061.4,-45
35,SIWAN,1221.3,967.1,-26
36,SUPAUL,1728.5,1092.5,-58
37,VAISHALI,1096,959.3,-14
38,WEST CHAMPARAN,2025,1277.4,-59
