S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,256.9,345,-26
2,ARWAL,151.2,223.1,-32
3,AURANGABAD,170.4,250.4,-32
4,BANKA,164.2,258.7,-37
5,BEGUSARAI,164.7,289.9,-43
6,BHABUA,149,278.9,-47
7,BHAGALPUR,222.6,262.8,-15
8,BHOJPUR,186.5,260.8,-28
9,BUXAR,270.2,259.1,4
10,DARBHANGA,143.3,269.4,-47
11,EAST CHAMPARAN,240.9,308.2,-22
12,GAYA,180.6,248.7,-27
13,GOPALGANJ,185.8,284.8,-35
14,JAHANABAD,243.1,248.3,-2
15,JAMUI,157.8,249.7,-37
16,KATIHAR,310.2,268.8,15
17,KHAGARIA,205.5,257,-20
18,KISHANGANJ,254.7,473.5,-46
19,LAKHISARAI,127,261.1,-51
20,MADHEPURA,235.8,295.3,-20
21,MADHUBANI,208.8,279.8,-25
22,MONGHYR,247.5,279.9,-12
23,MUZAFFARPUR,177.5,284.1,-38
24,NALANDA,195.5,243.6,-20
25,NAWADA,244.5,249.6,-2
26,PATNA,209.2,255.7,-18
27,PURNEA,330,370,-11
28,ROHTAS,214.8,268.1,-20
29,SAHARSA,161.8,298.9,-46
30,SAMASTIPUR,198.4,267.4,-26
31,SARAN,128.4,282.2,-54
32,SHEIKHPURA,132.9,227.4,-42
33,SHEOHAR,173.2,292.6,-41
34,SITAMARHI,225.7,310.1,-27
35,SIWAN,130.6,282.4,-54
36,SUPAUL,155.4,283.6,-45
37,VAISHALI,108,270,-60
38,WEST CHAMPARAN,253.6,367.9,-31
