S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,320.9,487.1,-34
2,ARWAL,292.9,249.1,18
3,AURANGABAD,467.6,293.5,59
4,BANKA,398.5,284.7,40
5,BEGUSARAI,314,329.1,-5
6,BHABUA,424.4,286,48
7,BHAGALPUR,377.5,310.7,22
8,BHOJPUR,222.6,306.8,-27
9,BUXAR,431.1,270.6,59
10,DARBHANGA,432.4,313.2,38
11,EAST CHAMPARAN,338.3,364.3,-7
12,GAYA,324.1,276.6,17
13,GOPALGANJ,379.9,336.3,13
14,JAHANABAD,314.2,284.4,10
15,JAMUI,398.4,319.4,25
16,KATIHAR,359.4,349.2,3
17,KHAGARIA,331.7,309,7
18,KISHANGANJ,623,597.4,4
19,LAKHISARAI,296.4,305.3,-3
20,MADHEPURA,408.2,332.8,23
21,MADHUBANI,416.2,353.5,18
22,MONGHYR,305.6,353.9,-14
23,MUZAFFARPUR,375.4,332.2,13
24,NALANDA,356.1,304.3,17
25,NAWADA,332.4,281.4,18
26,PATNA,299.2,315.6,-5
27,PURNEA,404.6,476.3,-15
28,ROHTAS,474.5,288.8,64
29,SAHARSA,510.5,375.3,36
30,SAMASTIPUR,441.2,309.5,43
31,SARAN,407.3,315.9,29
32,SHEIKHPURA,285.6,296.6,-4
33,SHEOHAR,353.8,356.7,-1
34,SITAMARHI,325.2,375.5,-13
35,SIWAN,260.5,308.3,-15
36,SUPAUL,345.5,391.3,-12
37,VAISHALI,367.8,335.6,10
38,WEST CHAMPARAN,443.2,438.5,1
