S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,143.4,262.6,-45
2,ARWAL,20.3,91.8,-78
3,AURANGABAD,41.8,126.8,-67
4,BANKA,89.7,139.5,-36
5,BEGUSARAI,53.5,165.6,-68
6,BHABUA,53,111.7,-53
7,BHAGALPUR,66.8,179.5,-63
8,BHOJPUR,88.2,116.4,-24
9,BUXAR,17.1,110.6,-85
10,DARBHANGA,108.3,145.1,-25
11,EAST CHAMPARAN,84.9,177.8,-52
12,GAYA,28.4,135.4,-79
13,GOPALGANJ,95.9,142.8,-33
14,JAHANABAD,133.5,125.2,7
15,JAMUI,86.6,147.4,-41
16,KATIHAR,139.5,211.9,-34
17,KHAGARIA,132.4,184.5,-28
18,KISHANGANJ,170.8,342.6,-50
19,LAKHISARAI,92.7,121.7,-24
20,MADHEPURA,143.6,197.5,-27
21,MADHUBANI,98.6,169.2,-42
22,MONGHYR,52.4,164,-68
23,MUZAFFARPUR,67.9,157,-57
24,NALANDA,34.1,119.2,-71
25,NAWADA,28.5,124.3,-77
26,PATNA,68.4,130.2,-48
27,PURNEA,112.4,279.7,-60
28,ROHTAS,49.6,115.4,-57
29,SAHARSA,120.2,195.6,-39
30,SAMASTIPUR,129.5,158.4,-18
31,SARAN,85.7,129.7,-34
32,SHEIKHPURA,87.8,130.1,-33
33,SHEOHAR,115.4,179.1,-36
34,SITAMARHI,110.8,188.9,-41
35,SIWAN,61.3,130.8,-53
36,SUPAUL,116.8,203.4,-43
37,VAISHALI,99.2,126.1,-21
38,WEST CHAMPARAN,91,200.8,-55
