MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
August,BANKA,235.2,247.7,-5
August,BEGUSARAI,289.6,273.8,6
August,BHABUA,294.4,271.2,9
August,BHAGALPUR,319.3,260.3,23
August,BHOJPUR,110.7,258.9,-57
August,BUXAR,217.2,232,-6
August,DARBHANGA,443.4,254.7,74
August,EAST CHAMPARAN,249.4,302,-17
August,GAYA,281.6,241.6,17
August,GOPALGANJ,178.9,272.7,-34
August,JAHANABAD,128.3,238.2,-46
August,JAMUI,186.3,250.9,-26
August,KATIHAR,344.6,255.8,35
August,KHAGARIA,179.4,252.1,-29
August,KISHANGANJ,1000.9,451.7,122
August,LAKHISARAI,224.4,222.7,1
August,MADHEPURA,246.9,265.9,-7
August,MADHUBANI,471,268.5,75
August,MONGHYR,147,276.1,-47
August,MUZAFFARPUR,225.4,261.9,-14
August,NALANDA,183.1,237.7,-23
August,NAWADA,213.9,242.4,-12
August,PATNA,181.1,237.8,-24
August,PURNEA,529.4,346.9,53
August,ROHTAS,266.4,248,7
August,SAHARSA,307.2,276,11
August,SAMASTIPUR,399.6,254.8,57
August,SARAN,234.1,258,-9
August,SHEIKHPURA,183.7,209.6,-12
August,SHEOHAR,309.2,266.9,16
August,SITAMARHI,365.7,307.3,19
August,SIWAN,171.6,249,-31
August,SUPAUL,534.9,262.5,104
August,VAISHALI,209.8,244.3,-14
August,WEST CHAMPARAN,937.7,355.8,164
September,ARARIA,199,284,-30
September,ARWAL,113.1,159.8,-29
September,AURANGABAD,95.9,187.7,-49
September,BANKA,238.8,198.7,20
September,BEGUSARAI,109,241,-55
September,BHABUA,55.6,221.3,-75
September,BHAGALPUR,216,219.7,-2
September,BHOJPUR,124.5,207.2,-40
September,BUXAR,94,172.2,-45
September,DARBHANGA,66.9,186.6,-64
September,EAST CHAMPARAN,128.9,211.1,-39
September,GAYA,101.2,174.7,-42
September,GOPALGANJ,190.6,216.8,-12
September,JAHANABAD,146.5,185.1,-21
September,JAMUI,68.5,218.7,-69
September,KATIHAR,202.9,262,-23
September,KHAGARIA,103.9,225.7,-54
September,KISHANGANJ,242.8,354.5,-32
September,LAKHISARAI,114.2,200.6,-43
September,MADHEPURA,120.5,250.1,-52
September,MADHUBANI,132.9,180.9,-27
September,MONGHYR,215.5,225.9,-5
September,MUZAFFARPUR,80.9,216.7,-63
September,NALANDA,93.5,191.6,-51
September,NAWADA,53.7,178.4,-70
September,PATNA,109.4,203.3,-46
September,PURNEA,152.7,308.9,-51
September,ROHTAS,35.9,190.1,-81
September,SAHARSA,81.7,236.4,-65
September,SAMASTIPUR,120.2,223,-46
September,SARAN,80.7,195.8,-59
September,SHEIKHPURA,72.4,181.7,-60
September,SHEOHAR,131,206,-36
September,SITAMARHI,79.6,188.6,-58
September,SIWAN,81.9,212.9,-62
September,SUPAUL,103.1,228.5,-55
September,VAISHALI,62.3,199.4,-69
September,WEST CHAMPARAN,329.9,237.1,39
