MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,143.4,262.6,-45
June,ARWAL,20.3,91.8,-78
June,AURANGABAD,41.8,126.8,-67
June,BANKA,89.7,139.5,-36
June,BEGUSARAI,53.5,165.6,-68
June,BHABUA,53,111.7,-53
June,BHAGALPUR,66.8,179.5,-63
June,BHOJPUR,88.2,116.4,-24
June,BUXAR,17.1,110.6,-85
June,DARBHANGA,108.3,145.1,-25
June,EAST CHAMPARAN,84.9,177.8,-52
June,GAYA,28.4,135.4,-79
June,GOPALGANJ,95.9,142.8,-33
June,JAHANABAD,133.5,125.2,7
June,JAMUI,86.6,147.4,-41
June,KATIHAR,139.5,211.9,-34
June,KHAGARIA,132.4,184.5,-28
June,KISHANGANJ,170.8,342.6,-50
June,LAKHISARAI,92.7,121.7,-24
June,MADHEPURA,143.6,197.5,-27
June,MADHUBANI,98.6,169.2,-42
June,MONGHYR,52.4,164,-68
June,MUZAFFARPUR,67.9,157,-57
June,NALANDA,34.1,119.2,-71
June,NAWADA,28.5,124.3,-77
June,PATNA,68.4,130.2,-48
June,PURNEA,112.4,279.7,-60
June,ROHTAS,49.6,115.4,-57
June,SAHARSA,120.2,195.6,-39
June,SAMASTIPUR,129.5,158.4,-18
June,SARAN,85.7,129.7,-34
June,SHEIKHPURA,87.8,130.1,-33
June,SHEOHAR,115.4,179.1,-36
June,SITAMARHI,110.8,188.9,-41
June,SIWAN,61.3,130.8,-53
June,SUPAUL,116.8,203.4,-43
June,VAISHALI,99.2,126.1,-21
June,WEST CHAMPARAN,91,200.8,-55
July,ARARIA,320.9,487.1,-34
July,ARWAL,292.9,249.1,18
July,AURANGABAD,467.6,293.5,59
July,BANKA,398.5,284.7,40
July,BEGUSARAI,314,329.1,-5
July,BHABUA,424.4,286,48
July,BHAGALPUR,377.5,310.7,22
July,BHOJPUR,222.6,306.8,-27
July,BUXAR,431.1,270.6,59
July,DARBHANGA,432.4,313.2,38
July,EAST CHAMPARAN,338.3,364.3,-7
July,GAYA,324.1,276.6,17
July,GOPALGANJ,379.9,336.3,13
July,JAHANABAD,314.2,284.4,10
July,JAMUI,398.4,319.4,25
July,KATIHAR,359.4,349.2,3
July,KHAGARIA,331.7,309,7
July,KISHANGANJ,623,597.4,4
July,LAKHISARAI,296.4,305.3,-3
July,MADHEPURA,408.2,332.8,23
July,MADHUBANI,416.2,353.5,18
July,MONGHYR,305.6,353.9,-14
July,MUZAFFARPUR,375.4,332.2,13
July,NALANDA,356.1,304.3,17
July,NAWADA,332.4,281.4,18
July,PATNA,299.2,315.6,-5
July,PURNEA,404.6,476.3,-15
July,ROHTAS,474.5,288.8,64
July,SAHARSA,510.5,375.3,36
July,SAMASTIPUR,441.2,309.5,43
July,SARAN,407.3,315.9,29
July,SHEIKHPURA,285.6,296.6,-4
July,SHEOHAR,353.8,356.7,-1
July,SITAMARHI,325.2,375.5,-13
July,SIWAN,260.5,308.3,-15
July,SUPAUL,345.5,391.3,-12
July,VAISHALI,367.8,335.6,10
July,WEST CHAMPARAN,443.2,438.5,1
August,ARARIA,741.4,340.9,117
August,ARWAL,101.4,204.5,-50
August,AURANGABAD,262.4,251,5
