S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,199,284,-30
2,ARWAL,113.1,159.8,-29
3,AURANGABAD,95.9,187.7,-49
4,BANKA,238.8,198.7,20
5,BEGUSARAI,109,241,-55
6,BHABUA,55.6,221.3,-75
7,BHAGALPUR,216,219.7,-2
8,BHOJPUR,124.5,207.2,-40
9,BUXAR,94,172.2,-45
10,DARBHANGA,66.9,186.6,-64
11,EAST CHAMPARAN,128.9,211.1,-39
12,GAYA,101.2,174.7,-42
13,GOPALGANJ,190.6,216.8,-12
14,JAHANABAD,146.5,185.1,-21
15,JAMUI,68.5,218.7,-69
16,KATIHAR,202.9,262,-23
17,KHAGARIA,103.9,225.7,-54
18,KISHANGANJ,242.8,354.5,-32
19,LAKHISARAI,114.2,200.6,-43
20,MADHEPURA,120.5,250.1,-52
21,MADHUBANI,132.9,180.9,-27
22,MONGHYR,215.5,225.9,-5
23,MUZAFFARPUR,80.9,216.7,-63
24,NALANDA,93.5,191.6,-51
25,NAWADA,53.7,178.4,-70
26,PATNA,109.4,203.3,-46
27,PURNEA,152.7,308.9,-51
28,ROHTAS,35.9,190.1,-81
29,SAHARSA,81.7,236.4,-65
30,SAMASTIPUR,120.2,223,-46
31,SARAN,80.7,195.8,-59
32,SHEIKHPURA,72.4,181.7,-60
33,SHEOHAR,131,206,-36
34,SITAMARHI,79.6,188.6,-58
35,SIWAN,81.9,212.9,-62
36,SUPAUL,103.1,228.5,-55
37,VAISHALI,62.3,199.4,-69
38,WEST CHAMPARAN,329.9,237.1,39
