S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,741.4,340.9,117
2,ARWAL,101.4,204.5,-50
3,AURANGABAD,262.4,251,5
4,BANKA,235.2,247.7,-5
5,BEGUSARAI,289.6,273.8,6
6,BHABUA,294.4,271.2,9
7,BHAGALPUR,319.3,260.3,23
8,BHOJPUR,110.7,258.9,-57
9,BUXAR,217.2,232,-6
10,DARBHANGA,443.4,254.7,74
11,EAST CHAMPARAN,249.4,302,-17
12,GAYA,281.6,241.6,17
13,GOPALGANJ,178.9,272.7,-34
14,JAHANABAD,128.3,238.2,-46
15,JAMUI,186.3,250.9,-26
16,KATIHAR,344.6,255.8,35
17,KHAGARIA,179.4,252.1,-29
18,KISHANGANJ,1000.9,451.7,122
19,LAKHISARAI,224.4,222.7,1
20,MADHEPURA,246.9,265.9,-7
21,MADHUBANI,471,268.5,75
22,MONGHYR,147,276.1,-47
23,MUZAFFARPUR,225.4,261.9,-14
24,NALANDA,183.1,237.7,-23
25,NAWADA,213.9,242.4,-12
26,PATNA,181.1,237.8,-24
27,PURNEA,529.4,346.9,53
28,ROHTAS,266.4,248,7
29,SAHARSA,307.2,276,11
30,SAMASTIPUR,399.6,254.8,57
31,SARAN,234.1,258,-9
32,SHEIKHPURA,183.7,209.6,-12
33,SHEOHAR,309.2,266.9,16
34,SITAMARHI,365.7,307.3,19
35,SIWAN,171.6,249,-31
36,SUPAUL,534.9,262.5,104
37,VAISHALI,209.8,244.3,-14
38,WEST CHAMPARAN,937.7,355.8,164
