S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,301.6,340.9,-12
2,ARWAL,234.5,204.5,15
3,AURANGABAD,206.5,251,-18
4,BANKA,294.5,247.7,19
5,BEGUSARAI,414.2,273.8,51
6,BHABUA,196.9,271.2,-27
7,BHAGALPUR,300.7,260.3,16
8,BHOJPUR,148.9,258.9,-42
9,BUXAR,331.2,232,43
10,DARBHANGA,371.9,254.7,46
11,EAST CHAMPARAN,533.9,302,77
12,GAYA,171.6,241.6,-29
13,GOPALGANJ,278.4,272.7,2
14,JAHANABAD,216.8,238.2,-9
15,JAMUI,251.2,250.9,0
16,KATIHAR,252.3,255.8,-1
17,KHAGARIA,521.2,252.1,107
18,KISHANGANJ,604.3,451.7,34
19,LAKHISARAI,237,222.7,6
20,MADHEPURA,263.1,265.9,-1
21,MADHUBANI,238.8,268.5,-11
22,MONGHYR,430.4,276.1,56
23,MUZAFFARPUR,236.4,261.9,-10
24,NALANDA,219.7,237.7,-8
25,NAWADA,283.1,242.4,17
26,PATNA,172.7,237.8,-27
27,PURNEA,193.7,346.9,-44
28,ROHTAS,189.2,248,-24
29,SAHARSA,243.7,276,-12
30,SAMASTIPUR,508.5,254.8,100
31,SARAN,296.2,258,15
32,SHEIKHPURA,267.3,209.6,28
33,SHEOHAR,460,266.9,72
34,SITAMARHI,225.3,307.3,-27
35,SIWAN,291,249,17
36,SUPAUL,235.2,262.5,-10
37,VAISHALI,252.4,244.3,3
38,WEST CHAMPARAN,386.5,355.8,9
