MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
September,BHOJPUR,28.3,207.2,-86
September,BUXAR,91.2,172.2,-47
September,DARBHANGA,96.4,186.6,-48
September,EAST CHAMPARAN,110.6,211.1,-48
September,GAYA,78,174.7,-55
September,GOPALGANJ,77,216.8,-64
September,JAHANABAD,114,185.1,-38
September,JAMUI,78.8,218.7,-64
September,KATIHAR,122.3,262,-53
September,KHAGARIA,226.6,225.7,0
September,KISHANGANJ,211.6,354.5,-40
September,LAKHISARAI,86.4,200.6,-57
September,MADHEPURA,165.3,250.1,-34
September,MADHUBANI,120.4,180.9,-33
September,MONGHYR,206.7,225.9,-8
September,MUZAFFARPUR,46.2,216.7,-79
September,NALANDA,79.9,191.6,-58
September,NAWADA,50.5,178.4,-72
September,PATNA,61.8,203.3,-70
September,PURNEA,99.6,308.9,-68
September,ROHTAS,32.2,190.1,-83
September,SAHARSA,162.8,236.4,-31
September,SAMASTIPUR,242.3,223,9
September,SARAN,16.5,195.8,-92
September,SHEIKHPURA,79,181.7,-57
September,SHEOHAR,85.8,206,-58
September,SITAMARHI,107.3,188.6,-43
September,SIWAN,14.7,212.9,-93
September,SUPAUL,194.5,228.5,-15
September,VAISHALI,64.6,199.4,-68
September,WEST CHAMPARAN,86.8,237.1,-63
