MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,137.5,262.6,-48
June,ARWAL,206.2,91.8,125
June,AURANGABAD,197.6,126.8,56
June,BANKA,202,139.5,45
June,BEGUSARAI,172.2,165.6,4
June,BHABUA,170.7,111.7,53
June,BHAGALPUR,204.2,179.5,14
June,BHOJPUR,80,116.4,-31
June,BUXAR,114.7,110.6,4
June,DARBHANGA,69.9,145.1,-52
June,EAST CHAMPARAN,29.9,177.8,-83
June,GAYA,161.7,135.4,19
June,GOPALGANJ,74,142.8,-48
June,JAHANABAD,192.9,125.2,54
June,JAMUI,123.7,147.4,-16
June,KATIHAR,196.9,211.9,-7
June,KHAGARIA,141,184.5,-24
June,KISHANGANJ,229.5,342.6,-33
June,LAKHISARAI,170.3,121.7,40
June,MADHEPURA,110,197.5,-44
June,MADHUBANI,63.2,169.2,-63
June,MONGHYR,205,164,25
June,MUZAFFARPUR,22.5,157,-86
June,NALANDA,131.4,119.2,10
June,NAWADA,89.8,124.3,-28
June,PATNA,74.5,130.2,-43
June,PURNEA,131.7,279.7,-53
June,ROHTAS,160.9,115.4,39
June,SAHARSA,119.7,195.6,-39
June,SAMASTIPUR,116.4,158.4,-27
June,SARAN,75,129.7,-42
June,SHEIKHPURA,186.7,130.1,43
June,SHEOHAR,8,179.1,-96
June,SITAMARHI,27.4,188.9,-85
June,SIWAN,74.5,130.8,-43
June,SUPAUL,101.8,203.4,-50
June,VAISHALI,48.6,126.1,-61
June,WEST CHAMPARAN,139.1,200.8,-31
July,ARARIA,192,487.1,-61
July,ARWAL,242.4,249.1,-3
July,AURANGABAD,384,293.5,31
July,BANKA,310.6,284.7,9
July,BEGUSARAI,153.2,329.1,-53
July,BHABUA,390.9,286,37
July,BHAGALPUR,360.1,310.7,16
July,BHOJPUR,150.9,306.8,-51
July,BUXAR,259.6,270.6,-4
July,DARBHANGA,178.3,313.2,-43
July,EAST CHAMPARAN,157.2,364.3,-57
July,GAYA,232.6,276.6,-16
July,GOPALGANJ,242.7,336.3,-28
July,JAHANABAD,186.2,284.4,-35
July,JAMUI,279.1,319.4,-13
July,KATIHAR,281.8,349.2,-19
July,KHAGARIA,185,309,-40
July,KISHANGANJ,346.6,597.4,-42
July,LAKHISARAI,297.1,305.3,-3
July,MADHEPURA,173.3,332.8,-48
July,MADHUBANI,146.6,353.5,-59
July,MONGHYR,177.3,353.9,-50
July,MUZAFFARPUR,199.8,332.2,-40
July,NALANDA,186.3,304.3,-39
July,NAWADA,207.7,281.4,-26
July,PATNA,251,315.6,-20
July,PURNEA,140.7,476.3,-70
July,ROHTAS,375.4,288.8,30
July,SAHARSA,176.6,375.3,-53
July,SAMASTIPUR,130,309.5,-58
July,SARAN,210.4,315.9,-33
July,SHEIKHPURA,305.5,296.6,3
July,SHEOHAR,197.4,356.7,-45
July,SITAMARHI,124.4,375.5,-67
July,SIWAN,142.6,308.3,-54
July,SUPAUL,192.6,391.3,-51
July,VAISHALI,237.8,335.6,-29
July,WEST CHAMPARAN,233.8,438.5,-47
August,ARARIA,301.6,340.9,-12
August,ARWAL,234.5,204.5,15
August,AURANGABAD,206.5,251,-18
August,BANKA,294.5,247.7,19
August,BEGUSARAI,414.2,273.8,51
August,BHABUA,196.9,271.2,-27
August,BHAGALPUR,300.7,260.3,16
August,BHOJPUR,148.9,258.9,-42
August,BUXAR,331.2,232,43
August,DARBHANGA,371.9,254.7,46
August,EAST CHAMPARAN,533.9,302,77
August,GAYA,171.6,241.6,-29
August,GOPALGANJ,278.4,272.7,2
August,JAHANABAD,216.8,238.2,-9
August,JAMUI,251.2,250.9,0
August,KATIHAR,252.3,255.8,-1
August,KHAGARIA,521.2,252.1,107
August,KISHANGANJ,604.3,451.7,34
August,LAKHISARAI,237,222.7,6
August,MADHEPURA,263.1,265.9,-1
August,MADHUBANI,238.8,268.5,-11
August,MONGHYR,430.4,276.1,56
August,MUZAFFARPUR,236.4,261.9,-10
August,NALANDA,219.7,237.7,-8
August,NAWADA,283.1,242.4,17
August,PATNA,172.7,237.8,-27
August,PURNEA,193.7,346.9,-44
August,ROHTAS,189.2,248,-24
August,SAHARSA,243.7,276,-12
August,SAMASTIPUR,508.5,254.8,100
August,SARAN,296.2,258,15
August,SHEIKHPURA,267.3,209.6,28
August,SHEOHAR,460,266.9,72
August,SITAMARHI,225.3,307.3,-27
August,SIWAN,291,249,17
August,SUPAUL,235.2,262.5,-10
August,VAISHALI,252.4,244.3,3
August,WEST CHAMPARAN,386.5,355.8,9
September,ARARIA,174.2,284,-39
September,ARWAL,81,159.8,-49
September,AURANGABAD,69,187.7,-63
September,BANKA,85.2,198.7,-57
September,BEGUSARAI,137,241,-43
September,BHABUA,77.5,221.3,-65
September,BHAGALPUR,188,219.7,-14
