S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,137.5,262.6,-48
2,ARWAL,206.2,91.8,125
3,AURANGABAD,197.6,126.8,56
4,BANKA,202,139.5,45
5,BEGUSARAI,172.2,165.6,4
6,BHABUA,170.7,111.7,53
7,BHAGALPUR,204.2,179.5,14
8,BHOJPUR,80,116.4,-31
9,BUXAR,114.7,110.6,4
10,DARBHANGA,69.9,145.1,-52
11,EAST CHAMPARAN,29.9,177.8,-83
12,GAYA,161.7,135.4,19
13,GOPALGANJ,74,142.8,-48
14,JAHANABAD,192.9,125.2,54
15,JAMUI,123.7,147.4,-16
16,KATIHAR,196.9,211.9,-7
17,KHAGARIA,141,184.5,-24
18,KISHANGANJ,229.5,342.6,-33
19,LAKHISARAI,170.3,121.7,40
20,MADHEPURA,110,197.5,-44
21,MADHUBANI,63.2,169.2,-63
22,MONGHYR,205,164,25
23,MUZAFFARPUR,22.5,157,-86
24,NALANDA,131.4,119.2,10
25,NAWADA,89.8,124.3,-28
26,PATNA,74.5,130.2,-43
27,PURNEA,131.7,279.7,-53
28,ROHTAS,160.9,115.4,39
29,SAHARSA,119.7,195.6,-39
30,SAMASTIPUR,116.4,158.4,-27
31,SARAN,75,129.7,-42
32,SHEIKHPURA,186.7,130.1,43
33,SHEOHAR,8,179.1,-96
34,SITAMARHI,27.4,188.9,-85
35,SIWAN,74.5,130.8,-43
36,SUPAUL,101.8,203.4,-50
37,VAISHALI,48.6,126.1,-61
38,WEST CHAMPARAN,139.1,200.8,-31
