S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,192,487.1,-61
2,ARWAL,242.4,249.1,-3
3,AURANGABAD,384,293.5,31
4,BANKA,310.6,284.7,9
5,BEGUSARAI,153.2,329.1,-53
6,BHABUA,390.9,286,37
7,BHAGALPUR,360.1,310.7,16
8,BHOJPUR,150.9,306.8,-51
9,BUXAR,259.6,270.6,-4
10,DARBHANGA,178.3,313.2,-43
11,EAST CHAMPARAN,157.2,364.3,-57
12,GAYA,232.6,276.6,-16
13,GOPALGANJ,242.7,336.3,-28
14,JAHANABAD,186.2,284.4,-35
15,JAMUI,279.1,319.4,-13
16,KATIHAR,281.8,349.2,-19
17,KHAGARIA,185,309,-40
18,KISHANGANJ,346.6,597.4,-42
19,LAKHISARAI,297.1,305.3,-3
20,MADHEPURA,173.3,332.8,-48
21,MADHUBANI,146.6,353.5,-59
22,MONGHYR,177.3,353.9,-50
23,MUZAFFARPUR,199.8,332.2,-40
24,NALANDA,186.3,304.3,-39
25,NAWADA,207.7,281.4,-26
26,PATNA,251,315.6,-20
27,PURNEA,140.7,476.3,-70
28,ROHTAS,375.4,288.8,30
29,SAHARSA,176.6,375.3,-53
30,SAMASTIPUR,130,309.5,-58
31,SARAN,210.4,315.9,-33
32,SHEIKHPURA,305.5,296.6,3
33,SHEOHAR,197.4,356.7,-45
34,SITAMARHI,124.4,375.5,-67
35,SIWAN,142.6,308.3,-54
36,SUPAUL,192.6,391.3,-51
37,VAISHALI,237.8,335.6,-29
38,WEST CHAMPARAN,233.8,438.5,-47
