S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,174.2,284,-39
2,ARWAL,81,159.8,-49
3,AURANGABAD,69,187.7,-63
4,BANKA,85.2,198.7,-57
5,BEGUSARAI,137,241,-43
6,BHABUA,77.5,221.3,-65
7,BHAGALPUR,188,219.7,-14
8,BHOJPUR,28.3,207.2,-86
9,BUXAR,91.2,172.2,-47
10,DARBHANGA,96.4,186.6,-48
11,EAST CHAMPARAN,110.6,211.1,-48
12,GAYA,78,174.7,-55
13,GOPALGANJ,77,216.8,-64
14,JAHANABAD,114,185.1,-38
15,JAMUI,78.8,218.7,-64
16,KATIHAR,122.3,262,-53
17,KHAGARIA,226.6,225.7,0
18,KISHANGANJ,211.6,354.5,-40
19,LAKHISARAI,86.4,200.6,-57
20,MADHEPURA,165.3,250.1,-34
21,MADHUBANI,120.4,180.9,-33
22,MONGHYR,206.7,225.9,-8
23,MUZAFFARPUR,46.2,216.7,-79
24,NALANDA,79.9,191.6,-58
25,NAWADA,50.5,178.4,-72
26,PATNA,61.8,203.3,-70
27,PURNEA,99.6,308.9,-68
28,ROHTAS,32.2,190.1,-83
29,SAHARSA,162.8,236.4,-31
30,SAMASTIPUR,242.3,223,9
31,SARAN,16.5,195.8,-92
32,SHEIKHPURA,79,181.7,-57
33,SHEOHAR,85.8,206,-58
34,SITAMARHI,107.3,188.6,-43
35,SIWAN,14.7,212.9,-93
36,SUPAUL,194.5,228.5,-15
37,VAISHALI,64.6,199.4,-68
38,WEST CHAMPARAN,86.8,237.1,-63
