S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,319.4,284,12
2,ARWAL,102.1,159.8,-36
3,AURANGABAD,121.2,187.7,-35
4,BANKA,327.4,198.7,65
5,BEGUSARAI,276.7,241,15
6,BHABUA,147.5,221.3,-33
7,BHAGALPUR,348.4,219.7,59
8,BHOJPUR,102.7,207.2,-50
9,BUXAR,181.5,172.2,5
10,DARBHANGA,169.7,186.6,-9
11,EAST CHAMPARAN,44.5,211.1,-79
12,GAYA,178,174.7,2
13,GOPALGANJ,55.2,216.8,-75
14,JAHANABAD,174,185.1,-6
15,JAMUI,328.5,218.7,50
16,KATIHAR,294.9,262,13
17,KHAGARIA,312,225.7,38
18,KISHANGANJ,277.1,354.5,-22
19,LAKHISARAI,305.7,200.6,52
20,MADHEPURA,233,250.1,-7
21,MADHUBANI,116.5,180.9,-36
22,MONGHYR,343.5,225.9,52
23,MUZAFFARPUR,161.4,216.7,-26
24,NALANDA,211.4,191.6,10
25,NAWADA,163.4,178.4,-8
26,PATNA,154.1,203.3,-24
27,PURNEA,268.1,308.9,-13
28,ROHTAS,164.2,190.1,-14
29,SAHARSA,222.6,236.4,-6
30,SAMASTIPUR,303.8,223,36
31,SARAN,88.8,195.8,-55
32,SHEIKHPURA,221.7,181.7,22
33,SHEOHAR,63.2,206,-69
34,SITAMARHI,50.8,188.6,-73
35,SIWAN,85,212.9,-60
36,SUPAUL,271.9,228.5,19
37,VAISHALI,204.9,199.4,3
38,WEST CHAMPARAN,69.9,237.1,-71
