S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,264,262.6,1
2,ARWAL,44.9,91.8,-51
3,AURANGABAD,36.4,126.8,-71
4,BANKA,115,139.5,-18
5,BEGUSARAI,51.3,165.6,-69
6,BHABUA,53.3,111.7,-52
7,BHAGALPUR,160.5,179.5,-11
8,BHOJPUR,84.4,116.4,-27
9,BUXAR,85.5,110.6,-23
10,DARBHANGA,72.6,145.1,-50
11,EAST CHAMPARAN,40,177.8,-77
12,GAYA,41.7,135.4,-69
13,GOPALGANJ,45,142.8,-68
14,JAHANABAD,64.1,125.2,-49
15,JAMUI,82.4,147.4,-44
16,KATIHAR,157.9,211.9,-25
17,KHAGARIA,112.4,184.5,-39
18,KISHANGANJ,290,342.6,-15
19,LAKHISARAI,68.4,121.7,-44
20,MADHEPURA,142.3,197.5,-28
21,MADHUBANI,57.4,169.2,-66
22,MONGHYR,99.6,164,-39
23,MUZAFFARPUR,59.3,157,-62
24,NALANDA,49.5,119.2,-58
25,NAWADA,32.6,124.3,-74
26,PATNA,68.2,130.2,-48
27,PURNEA,184.1,279.7,-34
28,ROHTAS,63.4,115.4,-45
29,SAHARSA,86.2,195.6,-56
30,SAMASTIPUR,55.4,158.4,-65
31,SARAN,60.7,129.7,-53
32,SHEIKHPURA,67.1,130.1,-48
33,SHEOHAR,50.3,179.1,-72
34,SITAMARHI,43.3,188.9,-77
35,SIWAN,41.7,130.8,-68
36,SUPAUL,119.1,203.4,-41
37,VAISHALI,93.1,126.1,-26
38,WEST CHAMPARAN,52.7,200.8,-74
