S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,291.8,487.1,-40
2,ARWAL,176.3,249.1,-29
3,AURANGABAD,237.2,293.5,-19
4,BANKA,129.3,284.7,-55
5,BEGUSARAI,135,329.1,-59
6,BHABUA,178.4,286,-38
7,BHAGALPUR,213.2,310.7,-31
8,BHOJPUR,175.1,306.8,-43
9,BUXAR,239.8,270.6,-11
10,DARBHANGA,169.6,313.2,-46
11,EAST CHAMPARAN,121.2,364.3,-67
12,GAYA,186.3,276.6,-33
13,GOPALGANJ,156,336.3,-54
14,JAHANABAD,156.3,284.4,-45
15,JAMUI,161.2,319.4,-50
16,KATIHAR,197.1,349.2,-44
17,KHAGARIA,117.2,309,-62
18,KISHANGANJ,558.2,597.4,-7
19,LAKHISARAI,172.2,305.3,-44
20,MADHEPURA,121.1,332.8,-64
21,MADHUBANI,209.3,353.5,-41
22,MONGHYR,126.8,353.9,-64
23,MUZAFFARPUR,115.6,332.2,-65
24,NALANDA,118.6,304.3,-61
25,NAWADA,180.4,281.4,-36
26,PATNA,132.2,315.6,-58
27,PURNEA,203.9,476.3,-57
28,ROHTAS,176.6,288.8,-39
29,SAHARSA,95.3,375.3,-75
30,SAMASTIPUR,134.9,309.5,-56
31,SARAN,106.6,315.9,-66
32,SHEIKHPURA,159.2,296.6,-46
33,SHEOHAR,86.4,356.7,-76
34,SITAMARHI,59.5,375.5,-84
35,SIWAN,235.8,308.3,-24
36,SUPAUL,252.6,391.3,-35
37,VAISHALI,129.3,335.6,-61
38,WEST CHAMPARAN,218.4,438.5,-50
