MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,264,262.6,1
June,ARWAL,44.9,91.8,-51
June,AURANGABAD,36.4,126.8,-71
June,BANKA,115,139.5,-18
June,BEGUSARAI,51.3,165.6,-69
June,BHABUA,53.3,111.7,-52
June,BHAGALPUR,160.5,179.5,-11
June,BHOJPUR,84.4,116.4,-27
June,BUXAR,85.5,110.6,-23
June,DARBHANGA,72.6,145.1,-50
June,EAST CHAMPARAN,40,177.8,-77
June,GAYA,41.7,135.4,-69
June,GOPALGANJ,45,142.8,-68
June,JAHANABAD,64.1,125.2,-49
June,JAMUI,82.4,147.4,-44
June,KATIHAR,157.9,211.9,-25
June,KHAGARIA,112.4,184.5,-39
June,KISHANGANJ,290,342.6,-15
June,LAKHISARAI,68.4,121.7,-44
June,MADHEPURA,142.3,197.5,-28
June,MADHUBANI,57.4,169.2,-66
June,MONGHYR,99.6,164,-39
June,MUZAFFARPUR,59.3,157,-62
June,NALANDA,49.5,119.2,-58
June,NAWADA,32.6,124.3,-74
June,PATNA,68.2,130.2,-48
June,PURNEA,184.1,279.7,-34
June,ROHTAS,63.4,115.4,-45
June,SAHARSA,86.2,195.6,-56
June,SAMASTIPUR,55.4,158.4,-65
June,SARAN,60.7,129.7,-53
June,SHEIKHPURA,67.1,130.1,-48
June,SHEOHAR,50.3,179.1,-72
June,SITAMARHI,43.3,188.9,-77
June,SIWAN,41.7,130.8,-68
June,SUPAUL,119.1,203.4,-41
June,VAISHALI,93.1,126.1,-26
June,WEST CHAMPARAN,52.7,200.8,-74
July,ARARIA,291.8,487.1,-40
July,ARWAL,176.3,249.1,-29
July,AURANGABAD,237.2,293.5,-19
July,BANKA,129.3,284.7,-55
July,BEGUSARAI,135,329.1,-59
July,BHABUA,178.4,286,-38
July,BHAGALPUR,213.2,310.7,-31
July,BHOJPUR,175.1,306.8,-43
July,BUXAR,239.8,270.6,-11
July,DARBHANGA,169.6,313.2,-46
July,EAST CHAMPARAN,121.2,364.3,-67
July,GAYA,186.3,276.6,-33
July,GOPALGANJ,156,336.3,-54
July,JAHANABAD,156.3,284.4,-45
July,JAMUI,161.2,319.4,-50
July,KATIHAR,197.1,349.2,-44
July,KHAGARIA,117.2,309,-62
July,KISHANGANJ,558.2,597.4,-7
July,LAKHISARAI,172.2,305.3,-44
July,MADHEPURA,121.1,332.8,-64
July,MADHUBANI,209.3,353.5,-41
July,MONGHYR,126.8,353.9,-64
July,MUZAFFARPUR,115.6,332.2,-65
July,NALANDA,118.6,304.3,-61
July,NAWADA,180.4,281.4,-36
July,PATNA,132.2,315.6,-58
July,PURNEA,203.9,476.3,-57
July,ROHTAS,176.6,288.8,-39
July,SAHARSA,95.3,375.3,-75
July,SAMASTIPUR,134.9,309.5,-56
July,SARAN,106.6,315.9,-66
July,SHEIKHPURA,159.2,296.6,-46
July,SHEOHAR,86.4,356.7,-76
July,SITAMARHI,59.5,375.5,-84
July,SIWAN,235.8,308.3,-24
July,SUPAUL,252.6,391.3,-35
July,VAISHALI,129.3,335.6,-61
July,WEST CHAMPARAN,218.4,438.5,-50
August,ARARIA,622.5,340.9,83
August,ARWAL,115,204.5,-44
August,AURANGABAD,156.7,251,-38
August,BANKA,279.8,247.7,13
August,BEGUSARAI,292.1,273.8,7
August,BHABUA,166.5,271.2,-39
August,BHAGALPUR,391.4,260.3,50
August,BHOJPUR,117.8,258.9,-54
August,BUXAR,143,232,-38
August,DARBHANGA,381.6,254.7,50
August,EAST CHAMPARAN,476.6,302,58
August,GAYA,178.1,241.6,-26
August,GOPALGANJ,285.7,272.7,5
August,JAHANABAD,166.5,238.2,-30
August,JAMUI,221.5,250.9,-12
August,KATIHAR,328.6,255.8,28
August,KHAGARIA,413.8,252.1,64
August,KISHANGANJ,379.5,451.7,-16
August,LAKHISARAI,167.3,222.7,-25
August,MADHEPURA,449.8,265.9,69
August,MADHUBANI,306.7,268.5,14
August,MONGHYR,324.4,276.1,17
August,MUZAFFARPUR,523.7,261.9,100
August,NALANDA,285.9,237.7,20
August,NAWADA,181,242.4,-25
August,PATNA,193,237.8,-19
August,PURNEA,546.2,346.9,57
August,ROHTAS,167.8,248,-32
August,SAHARSA,235.2,276,-15
August,SAMASTIPUR,334.9,254.8,31
August,SARAN,249.7,258,-3
August,SHEIKHPURA,186.2,209.6,-11
August,SHEOHAR,438.9,266.9,64
August,SITAMARHI,335.1,307.3,9
August,SIWAN,264.4,249,6
August,SUPAUL,406.5,262.5,55
August,VAISHALI,402.6,244.3,65
August,WEST CHAMPARAN,351,355.8,-1
September,ARARIA,319.4,284,12
September,ARWAL,102.1,159.8,-36
September,AURANGABAD,121.2,187.7,-35
September,BANKA,327.4,198.7,65
September,BEGUSARAI,276.7,241,15
September,BHABUA,147.5,221.3,-33
September,BHAGALPUR,348.4,219.7,59
September,BHOJPUR,102.7,207.2,-50
September,BUXAR,181.5,172.2,5
September,DARBHANGA,169.7,186.6,-9
September,EAST CHAMPARAN,44.5,211.1,-79
September,GAYA,178,174.7,2
September,GOPALGANJ,55.2,216.8,-75
September,JAHANABAD,174,185.1,-6
September,JAMUI,328.5,218.7,50
September,KATIHAR,294.9,262,13
September,KHAGARIA,312,225.7,38
September,KISHANGANJ,277.1,354.5,-22
September,LAKHISARAI,305.7,200.6,52
September,MADHEPURA,233,250.1,-7
September,MADHUBANI,116.5,180.9,-36
September,MONGHYR,343.5,225.9,52
September,MUZAFFARPUR,161.4,216.7,-26
September,NALANDA,211.4,191.6,10
September,NAWADA,163.4,178.4,-8
September,PATNA,154.1,203.3,-24
September,PURNEA,268.1,308.9,-13
September,ROHTAS,164.2,190.1,-14
September,SAHARSA,222.6,236.4,-6
September,SAMASTIPUR,303.8,223,36
September,SARAN,88.8,195.8,-55
September,SHEIKHPURA,221.7,181.7,22
September,SHEOHAR,63.2,206,-69
September,SITAMARHI,50.8,188.6,-73
September,SIWAN,85,212.9,-60
September,SUPAUL,271.9,228.5,19
September,VAISHALI,204.9,199.4,3
September,WEST CHAMPARAN,69.9,237.1,-71
