S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1497.7,1374.6,9
2,ARWAL,438.2,705.2,-38
3,AURANGABAD,551.4,859,-36
4,BANKA,851.5,870.6,-2
5,BEGUSARAI,755.1,1009.5,-25
6,BHABUA,545.7,890.2,-39
7,BHAGALPUR,1113.5,970.2,15
8,BHOJPUR,480,889.3,-46
9,BUXAR,649.9,785.4,-17
10,DARBHANGA,793.5,899.6,-12
11,EAST CHAMPARAN,682.3,1055.2,-35
12,GAYA,584.2,828.3,-29
13,GOPALGANJ,541.9,968.6,-44
14,JAHANABAD,560.8,832.9,-33
15,JAMUI,793.7,936.4,-15
16,KATIHAR,975.8,1078.9,-10
17,KHAGARIA,955.3,971.3,-2
18,KISHANGANJ,1504.7,1746.2,-14
19,LAKHISARAI,713.5,850.3,-16
20,MADHEPURA,946.2,1046.3,-10
21,MADHUBANI,689.9,972.1,-29
22,MONGHYR,894.4,1019.9,-12
23,MUZAFFARPUR,860.1,967.8,-11
24,NALANDA,665.5,852.8,-22
25,NAWADA,557.3,826.5,-33
26,PATNA,547.5,886.9,-38
27,PURNEA,1202.3,1411.8,-15
28,ROHTAS,572.1,842.3,-32
29,SAHARSA,639.3,1083.3,-41
30,SAMASTIPUR,828.9,945.7,-12
31,SARAN,505.8,899.4,-44
32,SHEIKHPURA,634.2,818,-22
33,SHEOHAR,638.8,1008.7,-37
34,SITAMARHI,488.7,1060.3,-54
35,SIWAN,626.9,901,-30
36,SUPAUL,1050.1,1085.7,-3
37,VAISHALI,829.9,905.4,-8
38,WEST CHAMPARAN,692,1232.2,-44
