S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,622.5,340.9,83
2,ARWAL,115,204.5,-44
3,AURANGABAD,156.7,251,-38
4,BANKA,279.8,247.7,13
5,BEGUSARAI,292.1,273.8,7
6,BHABUA,166.5,271.2,-39
7,BHAGALPUR,391.4,260.3,50
8,BHOJPUR,117.8,258.9,-54
9,BUXAR,143,232,-38
10,DARBHANGA,381.6,254.7,50
11,EAST CHAMPARAN,476.6,302,58
12,GAYA,178.1,241.6,-26
13,GOPALGANJ,285.7,272.7,5
14,JAHANABAD,166.5,238.2,-30
15,JAMUI,221.5,250.9,-12
16,KATIHAR,328.6,255.8,28
17,KHAGARIA,413.8,252.1,64
18,KISHANGANJ,379.5,451.7,-16
19,LAKHISARAI,167.3,222.7,-25
20,MADHEPURA,449.8,265.9,69
21,MADHUBANI,306.7,268.5,14
22,MONGHYR,324.4,276.1,17
23,MUZAFFARPUR,523.7,261.9,100
24,NALANDA,285.9,237.7,20
25,NAWADA,181,242.4,-25
26,PATNA,193,237.8,-19
27,PURNEA,546.2,346.9,57
28,ROHTAS,167.8,248,-32
29,SAHARSA,235.2,276,-15
30,SAMASTIPUR,334.9,254.8,31
31,SARAN,249.7,258,-3
32,SHEIKHPURA,186.2,209.6,-11
33,SHEOHAR,438.9,266.9,64
34,SITAMARHI,335.1,307.3,9
35,SIWAN,264.4,249,6
36,SUPAUL,406.5,262.5,55
37,VAISHALI,402.6,244.3,65
38,WEST CHAMPARAN,351,355.8,-1
