S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,278.1,284,-2
2,ARWAL,128.6,159.8,-20
3,AURANGABAD,186.6,187.7,-1
4,BANKA,270,198.7,36
5,BEGUSARAI,162.4,241,-33
6,BHABUA,196.9,221.3,-11
7,BHAGALPUR,118.4,219.7,-46
8,BHOJPUR,181,207.2,-13
9,BUXAR,210.5,172.2,22
10,DARBHANGA,182.5,186.6,-2
11,EAST CHAMPARAN,203.1,211.1,-4
12,GAYA,168.7,174.7,-3
13,GOPALGANJ,265.2,216.8,22
14,JAHANABAD,127.4,185.1,-31
15,JAMUI,221.6,218.7,1
16,KATIHAR,160.7,262,-39
17,KHAGARIA,163.4,225.7,-28
18,KISHANGANJ,271.8,354.5,-23
19,LAKHISARAI,122.9,200.6,-39
20,MADHEPURA,278,250.1,11
21,MADHUBANI,104.2,180.9,-42
22,MONGHYR,169.7,225.9,-25
23,MUZAFFARPUR,175.3,216.7,-19
24,NALANDA,188.7,191.6,-2
25,NAWADA,324.8,178.4,82
26,PATNA,156.1,203.3,-23
27,PURNEA,319.5,308.9,3
28,ROHTAS,152.6,190.1,-20
29,SAHARSA,183.6,236.4,-22
30,SAMASTIPUR,210.7,223,-6
31,SARAN,155.6,195.8,-21
32,SHEIKHPURA,146.7,181.7,-19
33,SHEOHAR,160.6,206,-22
34,SITAMARHI,114.2,188.6,-39
35,SIWAN,318.9,212.9,50
36,SUPAUL,247.5,228.5,8
37,VAISHALI,193.6,199.4,-3
38,WEST CHAMPARAN,342.1,237.1,44
