S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,187.7,340.9,-45
2,ARWAL,166.8,204.5,-18
3,AURANGABAD,245.9,251,-2
4,BANKA,117.8,247.7,-52
5,BEGUSARAI,149.6,273.8,-45
6,BHABUA,229.5,271.2,-15
7,BHAGALPUR,99.1,260.3,-62
8,BHOJPUR,178.4,258.9,-31
9,BUXAR,111.6,232,-52
10,DARBHANGA,168.3,254.7,-34
11,EAST CHAMPARAN,207.5,302,-31
12,GAYA,238.6,241.6,-1
13,GOPALGANJ,187.9,272.7,-31
14,JAHANABAD,215.3,238.2,-10
15,JAMUI,149,250.9,-41
16,KATIHAR,127.4,255.8,-50
17,KHAGARIA,132.9,252.1,-47
18,KISHANGANJ,267.8,451.7,-41
19,LAKHISARAI,98,222.7,-56
20,MADHEPURA,124.5,265.9,-53
21,MADHUBANI,175.9,268.5,-34
22,MONGHYR,144.7,276.1,-48
23,MUZAFFARPUR,185,261.9,-29
24,NALANDA,218,237.7,-8
25,NAWADA,128.2,242.4,-47
26,PATNA,136.7,237.8,-42
27,PURNEA,148.3,346.9,-57
28,ROHTAS,175.2,248,-29
29,SAHARSA,77.5,276,-72
30,SAMASTIPUR,183.1,254.8,-28
31,SARAN,102.4,258,-60
32,SHEIKHPURA,83.6,209.6,-60
33,SHEOHAR,198.7,266.9,-26
34,SITAMARHI,101,307.3,-67
35,SIWAN,170.2,249,-32
36,SUPAUL,166.3,262.5,-37
37,VAISHALI,128.8,244.3,-47
38,WEST CHAMPARAN,238.3,355.8,-33
