S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,659.7,262.6,151
2,ARWAL,54.9,91.8,-40
3,AURANGABAD,59,126.8,-53
4,BANKA,99.5,139.5,-29
5,BEGUSARAI,155.4,165.6,-6
6,BHABUA,74.8,111.7,-33
7,BHAGALPUR,127.8,179.5,-29
8,BHOJPUR,92.6,116.4,-20
9,BUXAR,158.9,110.6,44
10,DARBHANGA,145.1,145.1,0
11,EAST CHAMPARAN,184.8,177.8,4
12,GAYA,60.5,135.4,-55
13,GOPALGANJ,104,142.8,-27
14,JAHANABAD,73.7,125.2,-41
15,JAMUI,118.6,147.4,-20
16,KATIHAR,149.9,211.9,-29
17,KHAGARIA,168,184.5,-9
18,KISHANGANJ,839,342.6,145
19,LAKHISARAI,64.3,121.7,-47
20,MADHEPURA,271.8,197.5,38
21,MADHUBANI,234,169.2,38
22,MONGHYR,180,164,10
23,MUZAFFARPUR,168,157,7
24,NALANDA,70.7,119.2,-41
25,NAWADA,58.6,124.3,-53
26,PATNA,129,130.2,-1
27,PURNEA,352.3,279.7,26
28,ROHTAS,81.7,115.4,-29
29,SAHARSA,179.7,195.6,-8
30,SAMASTIPUR,121.3,158.4,-23
31,SARAN,77.7,129.7,-40
32,SHEIKHPURA,64,130.1,-51
33,SHEOHAR,98.7,179.1,-45
34,SITAMARHI,206.5,188.9,9
35,SIWAN,107.1,130.8,-18
36,SUPAUL,364.8,203.4,79
37,VAISHALI,108,126.1,-14
38,WEST CHAMPARAN,212.6,200.8,6
