MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
September,NAWADA,109.6,178.4,-39
September,PATNA,167.2,203.3,-18
September,PURNEA,128.7,308.9,-58
September,ROHTAS,103.5,190.1,-46
September,SAHARSA,134.6,236.4,-43
September,SAMASTIPUR,148.8,223,-33
September,SARAN,96.6,195.8,-51
September,SHEIKHPURA,90.5,181.7,-50
September,SHEOHAR,108.8,206,-47
September,SITAMARHI,139.2,188.6,-26
September,SIWAN,162.6,212.9,-24
September,SUPAUL,157.1,228.5,-31
September,VAISHALI,174.2,199.4,-13
September,WEST CHAMPARAN,221.2,237.1,-7
