S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,373.2,466.4,-20
2,ARWAL,124.3,261.7,-53
3,AURANGABAD,145.8,295.6,-51
4,BANKA,225.8,298.3,-24
5,BEGUSARAI,134.8,353.5,-62
6,BHABUA,149.8,296.3,-49
7,BHAGALPUR,281.1,308.1,-9
8,BHOJPUR,141.4,342.4,-59
9,BUXAR,173.2,282,-39
10,DARBHANGA,317.2,295.9,7
11,EAST CHAMPARAN,240.3,366,-34
12,GAYA,249.6,289.2,-14
13,GOPALGANJ,238.8,334.9,-29
14,JAHANABAD,176.8,269.5,-34
15,JAMUI,150,306.4,-51
16,KATIHAR,238.1,355.6,-33
17,KHAGARIA,244.2,316.6,-23
18,KISHANGANJ,496.1,613,-19
19,LAKHISARAI,106.9,269.4,-60
20,MADHEPURA,309.5,359.1,-14
21,MADHUBANI,477.7,366.1,30
22,MONGHYR,189,341.7,-45
23,MUZAFFARPUR,235,340.1,-31
24,NALANDA,159.7,301.4,-47
25,NAWADA,238.7,275.7,-13
26,PATNA,162.4,335.4,-52
27,PURNEA,241.3,498.5,-52
28,ROHTAS,147.8,292.3,-49
29,SAHARSA,243.9,489.8,-50
30,SAMASTIPUR,241.2,326.6,-26
31,SARAN,214,318.7,-33
32,SHEIKHPURA,159.2,290.6,-45
33,SHEOHAR,226,355.4,-36
34,SITAMARHI,332.2,384.4,-14
35,SIWAN,229.7,321.9,-29
36,SUPAUL,450.9,387.2,16
37,VAISHALI,272.7,341.4,-20
38,WEST CHAMPARAN,558.1,460.2,21
