S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,273.8,252.6,8
2,ARWAL,252.9,103.7,144
3,AURANGABAD,269.9,125.2,116
4,BANKA,226.6,147.5,54
5,BEGUSARAI,383.4,166.6,130
6,BHABUA,416.3,127.2,227
7,BHAGALPUR,372.7,180.5,107
8,BHOJPUR,267.8,113.1,137
9,BUXAR,264.1,107,147
10,DARBHANGA,431,149.6,188
11,EAST CHAMPARAN,356.5,181.1,97
12,GAYA,333.8,140.7,137
13,GOPALGANJ,359.3,147.2,144
14,JAHANABAD,312.4,118.4,164
15,JAMUI,310.7,157.1,98
16,KATIHAR,327.4,214.6,53
17,KHAGARIA,403.8,188.2,115
18,KISHANGANJ,325.1,351.6,-8
19,LAKHISARAI,260.6,125.9,107
20,MADHEPURA,262.7,215.4,22
21,MADHUBANI,288.5,160.5,80
22,MONGHYR,343.5,169.1,103
23,MUZAFFARPUR,295.6,158,87
24,NALANDA,319.9,127.5,151
25,NAWADA,341.7,134.6,154
26,PATNA,349.1,127,175
27,PURNEA,219.1,286.4,-23
28,ROHTAS,305,110.8,175
29,SAHARSA,302.7,224.4,35
30,SAMASTIPUR,459.7,160,187
31,SARAN,405.1,133.5,203
32,SHEIKHPURA,278.5,143.4,94
33,SHEOHAR,243.2,188.1,29
34,SITAMARHI,320.3,190.8,68
35,SIWAN,386.2,143.6,169
36,SUPAUL,383.8,204.2,88
37,VAISHALI,377.8,141.7,167
38,WEST CHAMPARAN,790.8,213,271
