MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
June,ARARIA,273.8,252.6,8
June,ARWAL,252.9,103.7,144
June,AURANGABAD,269.9,125.2,116
June,BANKA,226.6,147.5,54
June,BEGUSARAI,383.4,166.6,130
June,BHABUA,416.3,127.2,227
June,BHAGALPUR,372.7,180.5,107
June,BHOJPUR,267.8,113.1,137
June,BUXAR,264.1,107,147
June,DARBHANGA,431,149.6,188
June,EAST CHAMPARAN,356.5,181.1,97
June,GAYA,333.8,140.7,137
June,GOPALGANJ,359.3,147.2,144
June,JAHANABAD,312.4,118.4,164
June,JAMUI,310.7,157.1,98
June,KATIHAR,327.4,214.6,53
June,KHAGARIA,403.8,188.2,115
June,KISHANGANJ,325.1,351.6,-8
June,LAKHISARAI,260.6,125.9,107
June,MADHEPURA,262.7,215.4,22
June,MADHUBANI,288.5,160.5,80
June,MONGHYR,343.5,169.1,103
June,MUZAFFARPUR,295.6,158,87
June,NALANDA,319.9,127.5,151
June,NAWADA,341.7,134.6,154
June,PATNA,349.1,127,175
June,PURNEA,219.1,286.4,-23
June,ROHTAS,305,110.8,175
June,SAHARSA,302.7,224.4,35
June,SAMASTIPUR,459.7,160,187
June,SARAN,405.1,133.5,203
June,SHEIKHPURA,278.5,143.4,94
June,SHEOHAR,243.2,188.1,29
June,SITAMARHI,320.3,190.8,68
June,SIWAN,386.2,143.6,169
June,SUPAUL,383.8,204.2,88
June,VAISHALI,377.8,141.7,167
June,WEST CHAMPARAN,790.8,213,271
July,ARARIA,373.2,466.4,-20
July,ARWAL,124.3,261.7,-53
July,AURANGABAD,145.8,295.6,-51
July,BANKA,225.8,298.3,-24
July,BEGUSARAI,134.8,353.5,-62
July,BHABUA,149.8,296.3,-49
July,BHAGALPUR,281.1,308.1,-9
July,BHOJPUR,141.4,342.4,-59
July,BUXAR,173.2,282,-39
July,DARBHANGA,317.2,295.9,7
July,EAST CHAMPARAN,240.3,366,-34
July,GAYA,249.6,289.2,-14
July,GOPALGANJ,238.8,334.9,-29
July,JAHANABAD,176.8,269.5,-34
July,JAMUI,150,306.4,-51
July,KATIHAR,238.1,355.6,-33
July,KHAGARIA,244.2,316.6,-23
July,KISHANGANJ,496.1,613,-19
July,LAKHISARAI,106.9,269.4,-60
July,MADHEPURA,309.5,359.1,-14
July,MADHUBANI,477.7,366.1,30
July,MONGHYR,189,341.7,-45
July,MUZAFFARPUR,235,340.1,-31
July,NALANDA,159.7,301.4,-47
July,NAWADA,238.7,275.7,-13
July,PATNA,162.4,335.4,-52
July,PURNEA,241.3,498.5,-52
July,ROHTAS,147.8,292.3,-49
July,SAHARSA,243.9,489.8,-50
July,SAMASTIPUR,241.2,326.6,-26
July,SARAN,214,318.7,-33
July,SHEIKHPURA,159.2,290.6,-45
July,SHEOHAR,226,355.4,-36
July,SITAMARHI,332.2,384.4,-14
July,SIWAN,229.7,321.9,-29
July,SUPAUL,450.9,387.2,16
July,VAISHALI,272.7,341.4,-20
July,WEST CHAMPARAN,558.1,460.2,21
August,ARARIA,419.6,345,22
August,ARWAL,230.1,223.1,3
August,AURANGABAD,295.9,250.4,18
August,BANKA,213.1,258.7,-18
August,BEGUSARAI,183.3,289.9,-37
August,BHABUA,299.1,278.9,7
August,BHAGALPUR,139.1,262.8,-47
August,BHOJPUR,248.9,260.8,-5
August,BUXAR,279.4,259.1,8
August,DARBHANGA,439.2,269.4,63
August,EAST CHAMPARAN,474.4,308.2,54
August,GAYA,328.8,248.7,32
August,GOPALGANJ,298.5,284.8,5
August,JAHANABAD,203.6,248.3,-18
August,JAMUI,127.3,249.7,-49
August,KATIHAR,339.6,268.8,26
August,KHAGARIA,220.1,257,-14
August,KISHANGANJ,631.7,473.5,33
August,LAKHISARAI,144,261.1,-45
August,MADHEPURA,341.1,295.3,16
August,MADHUBANI,342.5,279.8,22
August,MONGHYR,173.6,279.9,-38
August,MUZAFFARPUR,613.1,284.1,116
August,NALANDA,219.8,243.6,-10
August,NAWADA,154.8,249.6,-38
August,PATNA,178.2,255.7,-30
August,PURNEA,305,370,-18
August,ROHTAS,308.6,268.1,15
August,SAHARSA,270,298.9,-10
August,SAMASTIPUR,308,267.4,15
August,SARAN,286.5,282.2,2
August,SHEIKHPURA,191.3,227.4,-16
August,SHEOHAR,343.4,292.6,17
August,SITAMARHI,416.6,310.1,34
August,SIWAN,361.3,282.4,28
August,SUPAUL,516.9,283.6,82
August,VAISHALI,507.3,270,88
August,WEST CHAMPARAN,532.7,367.9,45
September,ARARIA,75.6,269.4,-72
September,ARWAL,49.1,162.6,-70
