MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
September,AURANGABAD,111.2,183.6,-39
September,BANKA,123.3,207.6,-41
September,BEGUSARAI,69.3,236.3,-71
September,BHABUA,153.8,225,-32
September,BHAGALPUR,142.4,220.9,-36
September,BHOJPUR,99.8,209.4,-52
September,BUXAR,92.2,180.8,-49
September,DARBHANGA,57.1,176.3,-68
September,EAST CHAMPARAN,56.6,201.1,-72
September,GAYA,163.6,179.2,-9
September,GOPALGANJ,114,208.5,-45
September,JAHANABAD,82.3,182.5,-55
September,JAMUI,130,216.8,-40
September,KATIHAR,57.3,267.4,-79
September,KHAGARIA,90.3,232.7,-61
September,KISHANGANJ,148.4,348.1,-57
September,LAKHISARAI,69.7,189.3,-63
September,MADHEPURA,98.5,248.7,-60
September,MADHUBANI,53.1,169.5,-69
September,MONGHYR,96.1,233.5,-59
September,MUZAFFARPUR,95.6,216.6,-56
September,NALANDA,108.2,189.8,-43
September,NAWADA,135.8,181.6,-25
September,PATNA,93.6,202.6,-54
September,PURNEA,63,307.4,-79
September,ROHTAS,104.2,192.6,-46
September,SAHARSA,84.2,244.1,-65
September,SAMASTIPUR,96.5,221.6,-56
September,SARAN,124.3,198.7,-37
September,SHEIKHPURA,92.3,182.7,-49
September,SHEOHAR,44.8,206.3,-78
September,SITAMARHI,42.4,176.1,-76
September,SIWAN,154.1,219.2,-30
September,SUPAUL,80.5,217.5,-63
September,VAISHALI,127.3,206.2,-38
September,WEST CHAMPARAN,142,236.3,-40
