S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,75.6,269.4,-72
2,ARWAL,49.1,162.6,-70
3,AURANGABAD,111.2,183.6,-39
4,BANKA,123.3,207.6,-41
5,BEGUSARAI,69.3,236.3,-71
6,BHABUA,153.8,225,-32
7,BHAGALPUR,142.4,220.9,-36
8,BHOJPUR,99.8,209.4,-52
9,BUXAR,92.2,180.8,-49
10,DARBHANGA,57.1,176.3,-68
11,EAST CHAMPARAN,56.6,201.1,-72
12,GAYA,163.6,179.2,-9
13,GOPALGANJ,114,208.5,-45
14,JAHANABAD,82.3,182.5,-55
15,JAMUI,130,216.8,-40
16,KATIHAR,57.3,267.4,-79
17,KHAGARIA,90.3,232.7,-61
18,KISHANGANJ,148.4,348.1,-57
19,LAKHISARAI,69.7,189.3,-63
20,MADHEPURA,98.5,248.7,-60
21,MADHUBANI,53.1,169.5,-69
22,MONGHYR,96.1,233.5,-59
23,MUZAFFARPUR,95.6,216.6,-56
24,NALANDA,108.2,189.8,-43
25,NAWADA,135.8,181.6,-25
26,PATNA,93.6,202.6,-54
27,PURNEA,63,307.4,-79
28,ROHTAS,104.2,192.6,-46
29,SAHARSA,84.2,244.1,-65
30,SAMASTIPUR,96.5,221.6,-56
31,SARAN,124.3,198.7,-37
32,SHEIKHPURA,92.3,182.7,-49
33,SHEOHAR,44.8,206.3,-78
34,SITAMARHI,42.4,176.1,-76
35,SIWAN,154.1,219.2,-30
36,SUPAUL,80.5,217.5,-63
37,VAISHALI,127.3,206.2,-38
38,WEST CHAMPARAN,142,236.3,-40
